slug,title,kind,first_year,last_year,notes
100-carbon-free-energy-in-old-and-historic-districts,100% Carbon-Free Energy in Old and Historic Districts,other_article,2023,2023,
3-year-staggered-term-for-selectmen,3-Year Staggered Term for Selectmen,other_article,2021,2021,
abbot-public-library,Abbot Public Library,other_article,2021,2021,
accept-g-l-c-41-s-110a-saturday-closure-legal-holiday-town-clerk,"Accept G.L. c.41 s.110A - Saturday Closure/Legal Holiday, Town Clerk",other_article,2023,2023,
accept-trust-property,Accept Trust Property,consent,2019,2023,
acceptance-of-mgl-c-53-s-9a-nomination-papers,Acceptance of MGL c.53 s.9A - Nomination Papers,other_article,2023,2023,
add-provision-to-section-110-4-structures-features-not-requiring-certificates-of-appropriateness,"Add provision to Section 110-4, Structures/features not requiring certificates of appropriateness",other_article,2020,2020,
adjusted-exemption-amount-clause-22i,Adjusted Exemption Amount Clause 22I,other_article,2025,2025,
administrative-benefit-amendment,Administrative Benefit Amendment,other_article,2023,2023,
adopt-g-l-c-59-s-5-clause-22nd-h-local-veterans-benefit,Adopt G.L. c.59 s.5 Clause 22nd H (local veterans benefit),other_article,2023,2023,
adopt-local-meals-tax,Adopt Local Meals Tax,other_article,2024,2024,
adopt-local-rooms-tax-6,Adopt Local Rooms Tax (6%),other_article,2024,2024,
affordable-housing-tax-title-foreclosures,Affordable Housing / Tax Title Foreclosures,money_article,2019,2021,
allocation-of-land-for-off-road-bike-park,Allocation of Land for Off-Road Bike Park,other_article,2022,2022,
amend-article-ballot-order-random-drawing-of-names,Amend Article - Ballot Order / Random Drawing of Names,other_article,2024,2024,
amend-bylaw-capital-planning-committee-membership,Amend Bylaw - Capital Planning Committee Membership,other_article,2024,2024,
amend-bylaw-increase-building-construction-permit-fees,Amend Bylaw - Increase Building Construction Permit Fees,other_article,2024,2024,
amend-bylaw-increase-electrical-installation-permit-fees,Amend Bylaw - Increase Electrical Installation Permit Fees,other_article,2024,2024,
amend-bylaw-recall-provision-for-elected-officials,Amend Bylaw - Recall Provision for Elected Officials,other_article,2024,2024,
amend-bylaw-signs,"Amend Bylaw, Signs",other_article,2020,2020,
amend-bylaws-recall-provision,Amend Bylaws - Recall Provision,other_article,2025,2025,
amend-bylaws-s-174-6c-seating-of-visitors,Amend Bylaws s.174-6(C) Seating of Visitors,other_article,2024,2024,
amend-bylaws-traffic-safety-advisory-committee,Amend Bylaws - Traffic Safety Advisory Committee,other_article,2024,2024,
amend-chapter-119-peace-and-good-order-leaf-blower-enforcement,Amend Chapter 119 (Peace and Good Order) - Leaf Blower Enforcement,other_article,2023,2023,
amend-fee-for-demand-for-payment-of-taxes,Amend Fee for Demand for Payment of Taxes,other_article,2019,2019,
amend-general-bylaw-building-fees,"Amend General Bylaw, Building Fees",other_article,2019,2019,
amend-general-bylaw-floodplain-district,Amend General Bylaw - Floodplain District,other_article,2025,2025,
amend-general-bylaw-license-and-permits,Amend General Bylaw License and Permits,other_article,2019,2019,
amend-general-bylaw-stormwater,"Amend General Bylaw, Stormwater",other_article,2019,2019,
amend-general-bylaw-stormwater-chapter-195,"Amend General Bylaw, Stormwater (Chapter 195)",other_article,2021,2021,
amend-general-bylaws-allow-electronic-counting-devices,Amend General Bylaws - Allow Electronic Counting Devices,other_article,2023,2023,
amend-general-bylaws-ch-75-1-leaf-blowers,Amend General Bylaws Ch. 75-1 - Leaf Blowers,other_article,2024,2024,
amend-general-bylaws-ch-75-2-leaf-blowers,Amend General Bylaws Ch. 75-2 - Leaf Blowers,other_article,2024,2024,
amend-general-bylaws-ch-75-3-leaf-blowers,Amend General Bylaws Ch. 75-3 - Leaf Blowers,other_article,2024,2024,
amend-general-bylaws-for-new-human-resources-department,Amend General Bylaws for New Human Resources Department,other_article,2023,2023,
amend-general-bylaws-physical-examinations,Amend General Bylaws - Physical Examinations,other_article,2023,2023,
amend-general-bylaws-repeal-the-gas-powered-leaf-blower-ban,Amend General Bylaws - Repeal the Gas-Powered Leaf Blower ban,other_article,2023,2023,
amend-general-bylaws-state-street-restrooms,Amend General Bylaws - State Street Restrooms,other_article,2024,2024,
amend-old-and-historic-bylaws,Amend Old and Historic Bylaws,other_article,2020,2020,
amend-provisions-for-certificates-of-appropriateness-ohdc,Amend Provisions for Certificates of Appropriateness (OHDC),other_article,2020,2020,
amend-recreation-and-parks-revolving-fund,Amend Recreation and Parks Revolving Fund,other_article,2019,2019,
amend-the-bylaw-demolition-by-neglect,Amend the Bylaw / Demolition by Neglect,other_article,2021,2021,
amend-the-bylaw-old-and-historic-district-commission,Amend the Bylaw / Old and Historic District Commission,other_article,2021,2021,
amend-the-bylaws-of-the-old-and-historic-district-commission,Amend the Bylaws of the Old and Historic District Commission,other_article,2020,2020,
amend-the-date-of-the-annual-town-election,Amend the Date of the Annual Town Election,other_article,2023,2023,
amend-town-bylaw-13-10-licensing-and-registration-of-dogs,Amend Town Bylaw 13-10 - Licensing and Registration of Dogs,other_article,2024,2024,
amend-town-bylaws-940-cmr-29-10-of-open-meeting-law,Amend Town Bylaws - 940 CMR 29.10 of Open Meeting Law,other_article,2023,2023,
amend-town-bylaws-new-subdivisions,Amend Town Bylaws - New Subdivisions,other_article,2023,2023,
amend-town-bylaws-require-boards-committees-to-record-and-post-minutes,Amend Town Bylaws - Require Boards/Committees to record and post minutes,other_article,2023,2023,
amend-transfer-station-fees,Amend Transfer Station Fees,other_article,2024,2024,
amend-zoning-bylaw-3a-multi-family-overlay-district,Amend Zoning Bylaw - 3A Multi-Family Overlay District,other_article,2025,2025,
amend-zoning-bylaw-accessory-dwelling-units,Amend Zoning Bylaw - Accessory Dwelling Units,other_article,2025,2025,
amend-zoning-bylaw-map-adopt-a-3a-multi-family-overlay-district-mbta-communities,Amend Zoning Bylaw/Map - Adopt a 3A Multi-Family Overlay District (MBTA Communities),other_article,2024,2024,
amend-zoning-bylaws-shed-size,Amend Zoning Bylaws - Shed Size,other_article,2024,2024,
annual-election-of-town-officers,Annual Election of Town Officers,other_article,2019,2019,
appropriate-funds-for-website-design-and-development,Appropriate Funds for Website Design and Development,other_article,2024,2024,
appropriate-funds-independent-audit,"Appropriate Funds, Independent Audit",other_article,2025,2025,
appropriation-of-article-11-may-2-2022,"Appropriation of Article 11, May 2, 2022",other_article,2025,2025,
articles-in-numerical-order,Articles in Numerical Order,consent,2019,2025,
assessing-department-under-chief-financial-officer,Assessing Department Under Chief Financial Officer,other_article,2024,2024,
assume-liability,Assume Liability,consent,2019,2023,
available-funds-appropriate-to-reduce-tax-rate,Available Funds Appropriate to Reduce Tax Rate,money_article,2019,2025,
ban-use-of-gas-powered-leaf-blowers,Ban use of gas-powered Leaf Blowers,other_article,2019,2019,
board-of-health-increase-membership-home-rule-petition,Board of Health - Increase Membership / Home Rule Petition,other_article,2024,2024,
board-of-selectmen,Board of Selectmen,other_article,2021,2021,
building-permit-fees,Building Permit Fees,other_article,2025,2025,
building-permit-fees-petition-alternative,Building Permit Fees (petition alternative),other_article,2025,2025,
bylaw-rescind-select-board-3-year-terms,Bylaw - Rescind Select Board 3-Year Terms,other_article,2024,2024,
capital-improvements-for-public-buildings,Capital Improvements for Public Buildings,money_article,2019,2025,
capital-transfers,Capital Transfers,money_article,2024,2024,
cemetery-perpetual-care-trust-fund-transfer,Cemetery Perpetual Care Trust Fund Transfer,other_article,2025,2025,
cemetery-sale-of-lots-trust-fund-transfer,Cemetery Sale of Lots Trust Fund Transfer,other_article,2025,2025,
change-board-of-selectmen-to-select-board-general-bylaws,Change Board of Selectmen to Select Board (General Bylaws),other_article,2022,2022,
change-board-of-selectmen-to-select-board-zoning-bylaws,Change Board of Selectmen to Select Board (Zoning Bylaws),other_article,2022,2022,
change-select-board-terms-to-3-years,Change Select Board Terms to 3 Years,other_article,2023,2023,
coffin-school-reuse,Coffin School Reuse,other_article,2025,2025,
collective-bargaining-fire,Collective Bargaining (Fire),money_article,2021,2025,
collective-bargaining-iue-cwa-local-1776,Collective Bargaining (IUE/CWA - Local 1776),other_article,2021,2025,
collective-bargaining-police,Collective Bargaining (Police),money_article,2021,2025,
common-sense-sidewalk-snow-removal-bylaw,Common Sense Sidewalk Snow Removal Bylaw,other_article,2021,2021,
community-development-and-planning-department,Community Development and Planning Department,other_article,2024,2024,
compensation,Compensation,other_article,2021,2021,
compensation-town-officers,Compensation - Town Officers,money_article,2019,2025,
consent-articles,Consent Articles,consent,2024,2025,
consent-articles-water-and-sewer,"Consent Articles, Water and Sewer",consent,2024,2025,
construct-a-new-school-pk-3-40-baldwin-road,"Construct a New School (PK-3, 40 Baldwin Road)",other_article,2019,2019,
contracts-in-excess-of-three-years,Contracts in Excess of Three Years,consent,2019,2023,
council-on-aging-reduce-board-members-9-to-7,Council on Aging - Reduce Board Members 9 to 7,other_article,2020,2020,
council-on-aging-reduce-number-of-board-members,Council on Aging - Reduce Number of Board Members,other_article,2020,2020,
cpi-increase-for-qualified-seniors,CPI Increase for Qualified Seniors,other_article,2024,2024,
creation-of-a-traffic-advisory-committee,Creation of a Traffic Advisory Committee,other_article,2023,2023,
debt-exclusion-premium,Debt Exclusion Premium,money_article,2024,2024,
deed-restriction-pickett-house,Deed Restriction Pickett House,other_article,2020,2020,
deed-restriction-pickett-house-10-franklin-st,Deed Restriction Pickett House (10 Franklin St),other_article,2020,2020,
demolition-by-neglect,Demolition by Neglect,other_article,2020,2020,
department-of-public-works,Department of Public Works,other_article,2023,2023,
departmental-revolving-funds,Departmental Revolving Funds,money_article,2019,2025,
discontinue-and-change-of-use-portion-of-baldwin-road,Discontinue and Change of Use - Portion of Baldwin Road,other_article,2019,2019,
diversity,Diversity,other_article,2021,2021,
diversity-statement-amendment,Diversity Statement Amendment,other_article,2022,2022,
easement-fishing-point-lane-297-ocean-avenue,Easement - Fishing Point Lane / 297 Ocean Avenue,other_article,2024,2024,
electrical-installation-fees,Electrical Installation Fees,other_article,2025,2025,
electrical-installation-petition-alternative,Electrical Installation (petition alternative),other_article,2025,2025,
end-current-winter-overnight-parking-ban,End Current Winter Overnight Parking Ban,other_article,2020,2020,
end-overnight-parking-ban,End Overnight Parking Ban,other_article,2020,2020,
enhancements-to-the-comprehensive-annual-financial-review,Enhancements to the Comprehensive Annual Financial Review,other_article,2023,2023,
essex-north-shore-agricultural-and-technical-school-district,Essex North Shore Agricultural and Technical School District,money_article,2019,2025,
expenses-of-several-departments,Expenses of Several Departments,money_article,2019,2025,
extension-of-elected-terms-to-town-officials,Extension of Elected Terms to Town Officials,other_article,2019,2019,
financial-assistance-for-conservation,Financial Assistance Conservation,money_article,2019,2023,
franklin-street-fire-station,Franklin Street Fire Station,other_article,2023,2023,
gender-neutral-pronouns-nomenclature-general-bylaws,Gender-neutral pronouns/nomenclature (General Bylaws),other_article,2022,2022,
gender-neutral-pronouns-nomenclature-zoning-bylaws,Gender-neutral pronouns/nomenclature (Zoning Bylaws),other_article,2022,2022,
general-stabilization-fund,General Stabilization Fund,other_article,2025,2025,
gerry-school-playground-elm-street-park,Gerry School Playground (Elm Street Park),other_article,2025,2025,
gerry-school-reuse,Gerry School Reuse,other_article,2019,2019,
home-rule-petition-ballot-order,Home Rule Petition - Ballot Order,other_article,2022,2022,
home-rule-petition-means-tested-senior-citizen-property-tax-exemption,Home Rule Petition: Means-Tested Senior Citizen Property Tax Exemption,other_article,2025,2025,
hotel-tax,Hotel Tax,other_article,2020,2020,
improve-road-safety-indicators,Improve Road Safety Indicators,other_article,2024,2024,
indigenous-peoples-day,Indigenous Peoples' Day,other_article,2019,2019,
joseph-brown-conservation-area,Joseph Brown Conservation Area,other_article,2021,2021,
land-acknowledgement,Land Acknowledgement,other_article,2022,2022,
land-acquisition-45-49-pleasant-street,Land Acquisition 45-49 Pleasant Street,other_article,2020,2020,
leaf-blowers,Leaf Blowers,other_article,2020,2020,
lease-purchase,Lease Purchase,money_article,2020,2025,
lease-town-property,Lease Town Property,consent,2019,2023,
library,Library,other_article,2020,2020,
marblehead-high-school-roof-and-hvac-system,Marblehead High School Roof and HVAC System,other_article,2025,2025,
marijuana-retailers-general-bylaw,Marijuana Retailers - General Bylaw,other_article,2019,2019,
marijuana-tax,Marijuana Tax,other_article,2019,2019,
mary-a-alley-building-hvac-system,"Mary A. Alley Building, HVAC System",other_article,2025,2025,
meals-tax,Meals Tax,other_article,2020,2020,
medicaid-reimbursement-money,Medicaid Reimbursement Money,money_article,2019,2020,
mgl-c-41-s-1b-change-assessors-from-elected-to-appointed,MGL c.41 s.1B - Change Assessors from Elected to Appointed,other_article,2024,2024,
mooring-fees-in-marblehead-waters,Mooring Fees in Marblehead Waters,other_article,2022,2022,
mwra-local-water-system-assistance-program,MWRA Local Water System Assistance Program,money_article,2019,2023,
open-meeting-law-compliance,Open Meeting Law Compliance,other_article,2022,2022,
optional-additional-veteran-exemption-clause-22j,Optional Additional Veteran Exemption Clause 22J,other_article,2025,2025,
overnight-parking-ban,Overnight Parking Ban,other_article,2019,2019,
parking-tickets-increased-fee-for-snow-emergency,Parking Tickets - Increased Fee for Snow Emergency,other_article,2020,2025,
peace-and-good-order,Peace and Good Order,other_article,2021,2021,
placement-of-prop-2-5-on-ballot,Placement of Prop 2.5 on Ballot,other_article,2025,2025,
proposed-reclassification-and-pay-schedule-administrative,Proposed Reclassification and Pay Schedule (Administrative),money_article,2019,2025,
proposed-reclassification-and-pay-schedule-seasonal-and-temporary-personnel,Proposed Reclassification and Pay Schedule (Seasonal and Temporary Personnel),money_article,2019,2025,
proposed-reclassification-and-pay-schedule-traffic-supervisors,Proposed Pay Schedule and Reclassification (Traffic Supervisors),money_article,2019,2025,
prudent-investor,Prudent Investor,other_article,2025,2025,
public-shade-trees-protection,Public Shade Trees: Protection,other_article,2023,2023,
pumper-truck,Pumper Truck,other_article,2020,2021,
purchase-and-planting-of-trees,Purchase and Planting of Trees,other_article,2019,2019,
purchase-of-equipment-of-several-departments,Purchase of Equipment of Several Departments,money_article,2019,2025,
ratification-of-salary-bylaw,Ratification of Salary Bylaw,money_article,2019,2025,
reduction-in-speed-limits,Reduction in Speed Limits,other_article,2020,2020,
reduction-of-speed-limits,Reduction of Speed Limits,other_article,2020,2020,
release-funds-from-transportation-network,Release Funds from Transportation Network,money_article,2019,2023,
repairs-to-fort-sewall,Repairs to Fort Sewall,other_article,2019,2019,
reports-of-town-officers-and-committees,Reports of Town Officers and Committees,consent,2019,2025,
rescind-acceptance-of-g-l-c-31-s-58a-age-limits-police,"Rescind Acceptance of G.L. c.31 s.58A, Age Limits (Police)",other_article,2025,2025,
residency-requirements,Residency Requirements,other_article,2025,2025,
retirement-board-increase-base-amount,Retirement Board Increase Base Amount,other_article,2023,2023,
school-capital-needs,School Capital Needs,money_article,2022,2023,
security-required-for-certain-contracts,Security Required for Certain Contracts,other_article,2020,2020,
senior-tax-work-off-program,Senior Tax Work-Off Program,other_article,2024,2024,
sewer-department-construction,Sewer Department Construction,money_article,2019,2023,
sharing-of-administrative-functions,Sharing of Administrative Functions,other_article,2019,2019,
stabilization-account,Stabilization Account,other_article,2020,2020,
standard-operating-procedures-amendment,Standard Operating Procedures Amendment,other_article,2022,2022,
standard-operating-procedures-manual,Standard Operating Procedures Manual,other_article,2023,2023,
storm-drainage-construction,Stormwater Construction,money_article,2019,2025,
stormwater-enterprise-fund,Stormwater Enterprise Fund,other_article,2025,2025,
summer-break-from-gas-powered-leaf-blowers,Summer Break from Gas-Powered Leaf Blowers,other_article,2022,2022,
supplemental-appropriation-for-the-schools,Supplemental Appropriation and Expenses for the Schools,money_article,2019,2024,
supplemental-expenses-of-several-departments,Supplemental Appropriation and Expenses of Several Departments,money_article,2019,2024,
sustainability-coordinator,Sustainability Coordinator,other_article,2020,2025,
sustainable-marblehead-greenhouse-gas-emissions,Sustainable Marblehead Greenhouse Gas Emissions,other_article,2020,2020,
town-meeting-parliamentarian,"Town Meeting, Parliamentarian",other_article,2025,2025,
town-meeting-reconsideration-procedure,Town Meeting Reconsideration Procedure,other_article,2025,2025,
transfer-funds-to-special-education-stabilization-account,Transfer Funds to Special Education Stabilization Account,money_article,2020,2024,
transfer-funds-to-the-special-education-stabilization-account,Transfer Funds to the Special Education Stabilization Account,other_article,2019,2020,
transfer-of-property-21-lincoln-ave,Transfer of Property (21 Lincoln Ave),other_article,2021,2021,
transparency-and-accountability,Transparency and Accountability,other_article,2021,2021,
unpaid-accounts,Unpaid Accounts,money_article,2019,2025,
use-of-gas-powered-leaf-blowers,Use of Gas-Powered Leaf Blowers,other_article,2021,2021,
utility-easement-lucretia-and-joseph-brown-school,Utility Easement - Lucretia and Joseph Brown School,other_article,2022,2022,
village-vine-pleasant,Village/Vine/Pleasant,other_article,2020,2020,
village-vine-pleasant-gift-195-pleasant-st,Village/Vine/Pleasant Gift (195 Pleasant St),other_article,2020,2020,
