normalized_title,slug
100 carbon free energy in old and historic districts,100-carbon-free-energy-in-old-and-historic-districts
3 year staggered term for selectmen,3-year-staggered-term-for-selectmen
abbot public library,abbot-public-library
accept g l c 41 s 110a saturday closure legal holiday town clerk,accept-g-l-c-41-s-110a-saturday-closure-legal-holiday-town-clerk
accept trust property,accept-trust-property
acceptance of mgl c 53 s 9a nomination papers,acceptance-of-mgl-c-53-s-9a-nomination-papers
add provision to section 110 4 structures features not requiring certificates of appropriateness,add-provision-to-section-110-4-structures-features-not-requiring-certificates-of-appropriateness
adjusted exemption amount clause 22i,adjusted-exemption-amount-clause-22i
administrative benefit amendment,administrative-benefit-amendment
adopt g l c 59 s 5 clause 22nd h (local veterans benefit),adopt-g-l-c-59-s-5-clause-22nd-h-local-veterans-benefit
adopt local meals tax,adopt-local-meals-tax
adopt local rooms tax (6 ),adopt-local-rooms-tax-6
affordable housing tax title foreclosures,affordable-housing-tax-title-foreclosures
allocation of land for off road bike park,allocation-of-land-for-off-road-bike-park
amend article ballot order random drawing of names,amend-article-ballot-order-random-drawing-of-names
amend bylaw capital planning committee membership,amend-bylaw-capital-planning-committee-membership
amend bylaw increase building construction permit fees,amend-bylaw-increase-building-construction-permit-fees
amend bylaw increase electrical installation permit fees,amend-bylaw-increase-electrical-installation-permit-fees
amend bylaw recall provision for elected officials,amend-bylaw-recall-provision-for-elected-officials
amend bylaw signs,amend-bylaw-signs
amend bylaws recall provision,amend-bylaws-recall-provision
amend bylaws s 174 6(c) seating of visitors,amend-bylaws-s-174-6c-seating-of-visitors
amend bylaws traffic safety advisory committee,amend-bylaws-traffic-safety-advisory-committee
amend chapter 119 (peace and good order) leaf blower enforcement,amend-chapter-119-peace-and-good-order-leaf-blower-enforcement
amend fee for demand for payment of taxes,amend-fee-for-demand-for-payment-of-taxes
amend general bylaw building fees,amend-general-bylaw-building-fees
amend general bylaw floodplain district,amend-general-bylaw-floodplain-district
amend general bylaw license and permits,amend-general-bylaw-license-and-permits
amend general bylaw stormwater,amend-general-bylaw-stormwater
amend general bylaw stormwater (chapter 195),amend-general-bylaw-stormwater-chapter-195
amend general bylaws allow electronic counting devices,amend-general-bylaws-allow-electronic-counting-devices
amend general bylaws ch 75 1 leaf blowers,amend-general-bylaws-ch-75-1-leaf-blowers
amend general bylaws ch 75 2 leaf blowers,amend-general-bylaws-ch-75-2-leaf-blowers
amend general bylaws ch 75 3 leaf blowers,amend-general-bylaws-ch-75-3-leaf-blowers
amend general bylaws for new human resources department,amend-general-bylaws-for-new-human-resources-department
amend general bylaws physical examinations,amend-general-bylaws-physical-examinations
amend general bylaws repeal the gas powered leaf blower ban,amend-general-bylaws-repeal-the-gas-powered-leaf-blower-ban
amend general bylaws state street restrooms,amend-general-bylaws-state-street-restrooms
amend old and historic bylaws,amend-old-and-historic-bylaws
amend provisions for certificates of appropriateness (ohdc),amend-provisions-for-certificates-of-appropriateness-ohdc
amend recreation and parks revolving fund,amend-recreation-and-parks-revolving-fund
amend the bylaw demolition by neglect,amend-the-bylaw-demolition-by-neglect
amend the bylaw old and historic district commission,amend-the-bylaw-old-and-historic-district-commission
amend the bylaws of the old and historic district commission,amend-the-bylaws-of-the-old-and-historic-district-commission
amend the date of the annual town election,amend-the-date-of-the-annual-town-election
amend town bylaw 13 10 licensing and registration of dogs,amend-town-bylaw-13-10-licensing-and-registration-of-dogs
amend town bylaws 940 cmr 29 10 of open meeting law,amend-town-bylaws-940-cmr-29-10-of-open-meeting-law
amend town bylaws new subdivisions,amend-town-bylaws-new-subdivisions
amend town bylaws require boards committees to record and post minutes,amend-town-bylaws-require-boards-committees-to-record-and-post-minutes
amend transfer station fees,amend-transfer-station-fees
amend zoning bylaw 3a multi family overlay district,amend-zoning-bylaw-3a-multi-family-overlay-district
amend zoning bylaw accessory dwelling units,amend-zoning-bylaw-accessory-dwelling-units
amend zoning bylaw map adopt a 3a multi family overlay district (mbta communities),amend-zoning-bylaw-map-adopt-a-3a-multi-family-overlay-district-mbta-communities
amend zoning bylaws shed size,amend-zoning-bylaws-shed-size
annual election of town officers,annual-election-of-town-officers
appropriate funds for website design and development,appropriate-funds-for-website-design-and-development
appropriate funds independent audit,appropriate-funds-independent-audit
appropriation of article 11 may 2 2022,appropriation-of-article-11-may-2-2022
articles in numerical order,articles-in-numerical-order
assessing department under chief financial officer,assessing-department-under-chief-financial-officer
assume liability,assume-liability
available funds appropriate to reduce tax rate,available-funds-appropriate-to-reduce-tax-rate
available funds appropriated to reduce the tax rate,available-funds-appropriate-to-reduce-tax-rate
ban use of gas powered leaf blowers,ban-use-of-gas-powered-leaf-blowers
board of health increase membership home rule petition,board-of-health-increase-membership-home-rule-petition
board of selectmen,board-of-selectmen
building permit fees,building-permit-fees
building permit fees (petition alternative),building-permit-fees-petition-alternative
