fiscal_year,gf_committed,gf_assigned,gf_unassigned,gf_total,nonspendable,restricted_other,opeb_trust_town,opeb_trust_light,pension_trust,general_stabilization,source,notes
FY16,437823,6307165,13909193,20654181,3553879,16571389,,,87020105,,FY25 ACFR p.118 (Fund Balances Statistical Section); FY25 ACFR p.115 (RSI Pension),Pension RSI starts FY15; OPEB Town RSI starts FY18; OPEB Light RSI starts FY19
FY17,335975,7494339,14327422,22157736,3586670,11590117,,,89937732,,FY25 ACFR p.118 + p.115,
FY18,404071,8068042,12763640,21235753,3621446,10718919,1805761,,101424829,,FY25 ACFR p.118 + p.115 + p.123 (OPEB Town RSI),
FY19,443895,8769666,11943095,21156656,3656980,18362196,2303655,1729131,95016993,,FY25 ACFR p.118 + p.115 + p.123 + p.124 (OPEB Light RSI),
FY20,771466,7329283,13447221,21547970,3650055,21240785,2598971,1826938,106088596,,FY25 ACFR p.118 + p.115 + p.123 + p.124,
FY21,1082587,9801596,11679648,22563831,3687584,22089954,3310480,1862876,114565923,,FY25 ACFR p.118 + p.115 + p.123 + p.124,
FY22,1352750,10869515,10078085,22300350,3730257,26674820,3443026,2410597,133955945,,FY25 ACFR p.118 + p.115 + p.123 + p.124,
FY23,2113222,9423222,10862983,22399427,3763633,36260186,3886592,2319981,115533041,,FY25 ACFR p.118 + p.115 + p.123 + p.124,
FY24,1907863,6737703,12645810,21291376,3856296,33923366,4549099,2686218,124632396,532368,FY25 ACFR p.118 + p.115 + p.123 + p.124; FY24 ACFR Note III.J for general stabilization,General Stabilization Fund is part of the General Fund Unassigned line — not a separately tracked balance in the statistical section.
FY25,2014886,9292877,9876104,21183867,3876958,35438436,4954123,2789560,133223002,557204,FY25 ACFR p.118 + p.115 + p.123 + p.124 + Note III.J,General Stabilization Fund is part of the General Fund Unassigned line.
