entry_id,meeting_date,body,topic,topic_pass2,topic_other_label,attempt_type,attempt_type_pass2,deliberation,deliberation_pass2,importance,what_was_tried,outcome,evidence_quote,minutes_section,confidence,pass2_notes,quote_verified
select_board_2026-02-11_seq-001,2026-02-11,select_board,structural_deficit_reserves,structural_deficit_reserves,,proposal,proposal,discussed,discussed,4,"Board directed Town Administrator and CFO to present a balanced FY27 budget proposal and potential override options, and to develop 3-year multi-year budget projections with 'restored service' and 'smart invest' scenarios, department-level analysis of staffing/employee changes, capital requests, and long-term consequences of proposed cuts.","Direction given; balanced budget proposal and override options to be presented at February 25, 2026 meeting. No vote taken.","Town Administrator and Chief Financial Officer will present a balanced budget proposal for FY27, as well as potential override options, at the next Select Board meeting on February 25, 2026. The Board asked the Town Administrator to develop multi-year budget projections (3-year outlook) showing both a ""restored service"" scenario and a ""smart invest"" scenario and do an analysis by department, staffing/employee changes, capital requests, and potential long-term consequences of proposed cuts.",FY27 Budget Timeline Discussion,high,Substantive direction on FY27 budget process including override options and multi-year scenarios; clear policy-adjacent attempt though no vote yet.,1
select_board_2026-02-11_seq-002,2026-02-11,select_board,override_prop25,override_prop25,,proposal,proposal,discussed,discussed,4,Town Administrator and CFO directed to present potential override options alongside a balanced FY27 budget at the next Select Board meeting.,"Scheduled for presentation February 25, 2026. No vote taken.","Town Administrator and Chief Financial Officer will present a balanced budget proposal for FY27, as well as potential override options, at the next Select Board meeting on February 25, 2026.",FY27 Budget Timeline Discussion,high,Substantive FY27 budget discussion directing staff to prepare override options and multi-year scenarios; meaningful attempt short of vote.,1
select_board_2026-02-11_seq-003,2026-02-11,select_board,structural_deficit_reserves,budget_operating,,proposal,proposal,discussed,discussed,3,Board suggested isolating costs of individual services and exploring outsourcing options as part of FY27 budget development.,Included in direction to Town Administrator for further analysis; no vote.,They also suggested isolating the costs of individual services and exploring outsourcing options.,FY27 Budget Timeline Discussion,medium,Direction to TA to analyze outsourcing and isolate service costs as part of FY27 balanced budget development; policy-adjacent but no vote.,1
select_board_2026-02-11_seq-007,2026-02-11,select_board,other_candidate,roads_sidewalks_traffic,,vote,vote,discussed,discussed,3,"Contract 26-50 awarded to Apex Companies, LLC for the redesign of Five Corners for $150,000.","Motion approved, all in favor.","Motion made and seconded to award contract 26-50 for the redesign of five corners between the Town and Apex Companies, LLC for one hundred fifty thousand dollars ($150,000) and authorize the Chair to sign the change order on behalf of the Board. All in favor.",Contracts,medium,"Named design contract for Five Corners redesign, a specific infrastructure project; systemic traffic/roads topic rather than capital debt.",1
select_board_2026-02-11_seq-009,2026-02-11,select_board,revenue_diversification,revenue_diversification,,proposal,proposal,discussed,discussed,3,Chair reported that the Home Rule Petition for a Senior Tax Exemption is in its 3rd reading in the Massachusetts House and will move to the Senate if passed.,Informational update; awaiting legislative action.,"The Chair announced that the Home Rule Petition, Senior Tax Exemption, is currently having its 3rd reading in the house and if it passes there will move along to the Senate.",Select Board Announcements,medium,Named Home Rule Petition on senior tax exemption progressing through state legislature; policy-adjacent revenue/relief tool.,1
select_board_2026-01-28_seq-001,2026-01-28,select_board,other_candidate,other_candidate,resident_survey_strategic_planning,proposal,discussion,discussed,discussed,3,"Board member Noonan presented information on conducting a scientifically valid resident survey via a community engagement platform (e.g., Polco or Flash Vote) to inform budget planning and strategic planning by identifying gaps between resident priorities and service delivery.","No vote taken; Mrs. Noonan will continue to research cost, timeline, and value and report back to the Board.","She shared that Dedham recently used Polco's services and found the data helpful for budget planning and identifying gaps between resident priorities and service delivery. Mrs. Noonan will continue to research further into the cost, timeline, and value of conducting a scientifically valid resident survey (e.g., via Polco or Flash Vote), including the possibility of customizing questions, and report back to the Board.",Resident Survey,low,"Exploratory proposal to use a scientific resident survey platform to inform budget/strategic planning; no vote, but a named systemic civic-engagement initiative residents would want surfaced.",1
select_board_2025-12-10_seq-001,2025-12-10,select_board,structural_deficit_reserves,structural_deficit_reserves,,proposal,proposal,discussed,discussed,4,"Finance Committee and CFO presented FY27 revenue forecast showing approximately $700,000 revenue decrease and lower free cash estimate; Board discussed town policy of reducing reliance on free cash for the operating budget and potential impacts on capital spending and stabilization funds.",Discussed; no vote taken. Finance Committee plans to review budget again after State of the Town Address on January 28th.,"The revenue forecast for fiscal year 2027 was discussed, showing a decrease to revenue of approximately $700,000 compared to the previous year. The free cash estimate for the current year was projected to be lower than the previous year's certified amount, with potential impacts on capital spending and stabilization funds. The discussion also touched on the town's policy of reducing reliance on free cash for the operating budget, though with some flexibility depending on future revenue projections.",Finance: Budget and Revenue Forecast,high,"Substantive discussion of structural deficit ($7M growing to $15M), override scenarios, and reserves policy; significant planning moment though no vote.",1
select_board_2025-12-10_seq-002,2025-12-10,select_board,override_prop25,override_prop25,,proposal,proposal,discussed,discussed,4,"Board agreed to prepare both a state-required balanced budget and a contingent budget option for voters, in light of projected $7 million deficit next year growing to $15 million over three years, and discussed determining mandatory versus desirable costs when building an override scenario.",Agreement to develop dual budget scenarios; departmental reviews and cost control measures to be explored before considering an override request.,"The Select Board and Finance Committee discussed the town's budget challenges, with projections showing a $7 million deficit next year that could grow to $15 million over three years due to factors like double-digit increases in healthcare and pensions, along with inflation. The Board agreed to work on preparing both a state-required balanced budget and a contingent budget option for voters to consider, and the need to communicate the situation clearly to residents. The discussion touched on the need to determine which costs are mandatory versus desirable when building an override scenario.",Finance: Budget and Revenue Forecast,high,Substantive fiscal deliberation on $7M-$15M deficit with concrete decision to prepare dual budget scenarios and explore override; directly relevant to systemic fiscal strategy.,1
select_board_2025-12-10_seq-003,2025-12-10,select_board,structural_deficit_reserves,budget_general,,proposal,discussion,discussed,discussed,3,Board acknowledged double-digit increases in healthcare costs as a key driver of the projected multi-year structural deficit in discussion of FY27 budget challenges.,Identified as a cost driver in budget deliberations; no specific mitigation action taken.,"The Select Board and Finance Committee discussed the town's budget challenges, with projections showing a $7 million deficit next year that could grow to $15 million over three years due to factors like double-digit increases in healthcare and pensions, along with inflation.",Finance: Budget and Revenue Forecast,medium,Healthcare mentioned as one driver among several in broader budget/deficit discussion; better categorized as budget_general than healthcare_gic since no GIC-specific action.,1
select_board_2025-12-10_seq-004,2025-12-10,select_board,pensions_opeb,pensions_opeb,,proposal,discussion,discussed,discussed,3,Board acknowledged double-digit increases in pensions as a key driver of the projected multi-year structural deficit in discussion of FY27 budget challenges.,Identified as a cost driver in budget deliberations; no specific mitigation action taken.,"The Select Board and Finance Committee discussed the town's budget challenges, with projections showing a $7 million deficit next year that could grow to $15 million over three years due to factors like double-digit increases in healthcare and pensions, along with inflation.",Finance: Budget and Revenue Forecast,medium,Pensions flagged as key driver of $7M-to-$15M structural deficit; discussion-level acknowledgment without specific mitigation.,1
