entry_id,meeting_date,body,topic,topic_other_label,attempt_type,deliberation,what_was_tried,outcome,evidence_quote,minutes_section,confidence
select_board_2026-02-11_seq-001,2026-02-11,select_board,structural_deficit_reserves,,proposal,discussed,"Board directed Town Administrator and CFO to present a balanced FY27 budget proposal and potential override options, and to develop 3-year multi-year budget projections with 'restored service' and 'smart invest' scenarios, department-level analysis of staffing/employee changes, capital requests, and long-term consequences of proposed cuts.","Direction given; balanced budget proposal and override options to be presented at February 25, 2026 meeting. No vote taken.","Town Administrator and Chief Financial Officer will present a balanced budget proposal for FY27, as well as potential override options, at the next Select Board meeting on February 25, 2026. The Board asked the Town Administrator to develop multi-year budget projections (3-year outlook) showing both a ""restored service"" scenario and a ""smart invest"" scenario and do an analysis by department, staffing/employee changes, capital requests, and potential long-term consequences of proposed cuts.",FY27 Budget Timeline Discussion,high
select_board_2026-02-11_seq-002,2026-02-11,select_board,override_prop25,,proposal,discussed,Town Administrator and CFO directed to present potential override options alongside a balanced FY27 budget at the next Select Board meeting.,"Scheduled for presentation February 25, 2026. No vote taken.","Town Administrator and Chief Financial Officer will present a balanced budget proposal for FY27, as well as potential override options, at the next Select Board meeting on February 25, 2026.",FY27 Budget Timeline Discussion,high
select_board_2026-02-11_seq-003,2026-02-11,select_board,staffing_fte_bargaining,,proposal,discussed,Board suggested isolating costs of individual services and exploring outsourcing options as part of FY27 budget development.,Included in direction to Town Administrator for further analysis; no vote.,They also suggested isolating the costs of individual services and exploring outsourcing options.,FY27 Budget Timeline Discussion,medium
select_board_2026-02-11_seq-004,2026-02-11,select_board,staffing_fte_bargaining,,warrant_article,discussed,Warrant article for Collective Bargaining – Fire placed on 2026 Annual Town Meeting warrant as sponsored by the Select Board.,Article reviewed for placement on warrant; no vote taken at this meeting.,Collective Bargaining – Fire,Warrant Articles. 2026 Annual Town Meeting,medium
select_board_2026-02-11_seq-005,2026-02-11,select_board,governance_organizational,,warrant_article,discussed,Warrant article to repeal (dissolve) the General Bylaw establishing the Public Works Committee placed on 2026 Annual Town Meeting warrant.,Article reviewed for placement on warrant; no vote taken at this meeting.,Repeal (dissolve) General Bylaw – Public Works Committee,Warrant Articles. 2026 Annual Town Meeting,medium
select_board_2026-02-11_seq-006,2026-02-11,select_board,governance_organizational,,warrant_article,discussed,Warrant article for Administrative Benefit Amendment placed on 2026 Annual Town Meeting warrant as sponsored by the Select Board.,Article reviewed for placement on warrant; no vote taken at this meeting.,Administrative Benefit Amendment,Warrant Articles. 2026 Annual Town Meeting,low
select_board_2026-02-11_seq-007,2026-02-11,select_board,capital_facilities_debt,,vote,discussed,"Contract 26-50 awarded to Apex Companies, LLC for the redesign of Five Corners for $150,000.","Motion approved, all in favor.","Motion made and seconded to award contract 26-50 for the redesign of five corners between the Town and Apex Companies, LLC for one hundred fifty thousand dollars ($150,000) and authorize the Chair to sign the change order on behalf of the Board. All in favor.",Contracts,medium
select_board_2026-02-11_seq-008,2026-02-11,select_board,revenue_diversification,,vote,routine,"Reauthorization of twelve departmental Revolving Fund Accounts for FY2027 under MGL Ch. 44, Sec. 53E½, including Board of Health commercial waste disposal ($1,067,598), Recreation and Parks ($2,000,000), Council on Aging ($350,000), Special Education ($200,000), and others.","Motion approved, all in favor.","Motion made and seconded to reauthorize the following Revolving Fund Accounts for Fiscal Year 2027 in accordance with Mass General Laws Chapter 44, Section 53E ½ in the amounts below",Revolving Fund Accounts. FY2027,medium
select_board_2026-02-11_seq-009,2026-02-11,select_board,revenue_diversification,,proposal,discussed,Chair reported that the Home Rule Petition for a Senior Tax Exemption is in its 3rd reading in the Massachusetts House and will move to the Senate if passed.,Informational update; awaiting legislative action.,"The Chair announced that the Home Rule Petition, Senior Tax Exemption, is currently having its 3rd reading in the house and if it passes there will move along to the Senate.",Select Board Announcements,medium
select_board_2026-01-28_seq-001,2026-01-28,select_board,other_candidate,resident_survey_strategic_planning,proposal,discussed,"Board member Noonan presented information on conducting a scientifically valid resident survey via a community engagement platform (e.g., Polco or Flash Vote) to inform budget planning and strategic planning by identifying gaps between resident priorities and service delivery.","No vote taken; Mrs. Noonan will continue to research cost, timeline, and value and report back to the Board.","She shared that Dedham recently used Polco's services and found the data helpful for budget planning and identifying gaps between resident priorities and service delivery. Mrs. Noonan will continue to research further into the cost, timeline, and value of conducting a scientifically valid resident survey (e.g., via Polco or Flash Vote), including the possibility of customizing questions, and report back to the Board.",Resident Survey,low
