Vendor,Fund,Division,Description,Date,Amount
ALL AMERICAN INVESTMENT GROUP LLC,GENERAL FUND - TAX ARTICLES,ART 7 2024 LEASE PURCHASE,lease vehicle,2025-07-01T00:00:00.000,67104.52
MAYER TREE SERVICE,ELECTRIC ENTERPRISE,EXPENSES,934000,2025-07-29T00:00:00.000,11530.00
HTS ENGINEERING INC,ELECTRIC ENTERPRISE,EXPENSES,compressors geothermal,2025-12-11T00:00:00.000,13384.00
AARON MOSESON,ELECTRIC ENTERPRISE,EXPENSES,videography,2025-12-11T00:00:00.000,8800.00
JOHN WRIGHT,ELECTRIC ENTERPRISE,EXPENSES,Neppa and V 13,2025-12-11T00:00:00.000,446.96
JOHN WRIGHT,ELECTRIC ENTERPRISE,EXPENSES,Neppa and V 13,2025-12-11T00:00:00.000,781.90
AT&T,GENERAL FUND - TOWN,EXPENSES,Monthly Charges,2025-12-09T00:00:00.000,50.97
MAYER TREE SERVICE,ELECTRIC ENTERPRISE,EXPENSES,93401,2025-07-29T00:00:00.000,24092.00
NATIONAL GRID,GENERAL FUND - TOWN,EXPENSES,Monthly Charges,2025-12-09T00:00:00.000,587.28
LANGUAGE LINE SERVICES INC,GENERAL FUND - TOWN,EXPENSES,Telephone Translations,2025-12-09T00:00:00.000,18.24
WEX BANK,GENERAL FUND - TOWN,EXPENSES,Gas/Exxon Mobil,2025-12-09T00:00:00.000,75.00
NATIONAL ASSOCIATION OF SCHOOL RESOURCE OFFICERS,GENERAL FUND - TOWN,SALARIES,Training/Sean Sweeney,2025-12-09T00:00:00.000,450.00
T MOBILE USA INC,GENERAL FUND - TOWN,EXPENSES,T-MOBILE STEVEN MOODY,2025-12-10T00:00:00.000,33.06
MARBLEHEAD COUNSELING CENTER,GENERAL FUND - TOWN,EXPENSES,Psychological Counseling,2025-12-10T00:00:00.000,4435.05
THOMAS MASSARO,BOH DONATION FUND,UNDEFINED,CAHM MATERIALS,2025-12-10T00:00:00.000,39.18
"WILLIAMS SCOTSMAN, INC",GENERAL FUND - TOWN,EXPENSES,WillScot Trailer Rental,2025-12-09T00:00:00.000,601.49
STERICYCLE,GENERAL FUND - TOWN,EXPENSES,SHARPS DISPOSAL,2025-12-09T00:00:00.000,666.11
HOME DEPOT CREDIT SERVICES,ELECTRIC ENTERPRISE,EXPENSES,75228574,2025-07-29T00:00:00.000,85.26
STERICYCLE,GENERAL FUND - TOWN,EXPENSES,SHARPS DISPOSAL,2025-12-09T00:00:00.000,666.11
STERICYCLE,GENERAL FUND - TOWN,EXPENSES,SHARPS DISPOSAL,2025-12-09T00:00:00.000,666.11
"WILLIAMS SCOTSMAN, INC",GENERAL FUND - TOWN,EXPENSES,WillScot Trailer Rental,2025-12-09T00:00:00.000,770.49
"WILLIAMS SCOTSMAN, INC",GENERAL FUND - TOWN,EXPENSES,WillScot Trailer Rental,2025-12-09T00:00:00.000,529.24
"WILLIAMS SCOTSMAN, INC",GENERAL FUND - TOWN,EXPENSES,WillScot Trailer Rental,2025-12-09T00:00:00.000,601.49
WASTE MANAGEMENT OF MA INC.,GENERAL FUND - TOWN,EXPENSES,Waste Management MSW,2025-12-09T00:00:00.000,54756.05
WASTE MANAGEMENT OF MA INC.,GENERAL FUND - TOWN,EXPENSES,Recycling,2025-12-09T00:00:00.000,9720.00
WASTE MANAGEMENT OF MA INC.,GENERAL FUND - TOWN,EXPENSES,Recycling,2025-12-09T00:00:00.000,180.02
RMG ENTERPRISE LLC,GENERAL FUND - TOWN,EXPENSES,RMG Electronic Recycling,2025-12-09T00:00:00.000,860.44
AMAZON CAPITAL SERVICES INC,GENERAL FUND - TOWN,EXPENSES,Amazon Business MHEC Contract,2025-12-09T00:00:00.000,22.88
GORMAN RICHARDSON LEWIS ARCHITECTS INC,ELECTRIC ENTERPRISE,EXPENSES,42184,2025-07-29T00:00:00.000,1092.50
HOME DEPOT CREDIT SERVICES,GENERAL FUND - TOWN,EXPENSES,Home Depot - Misc,2025-12-09T00:00:00.000,64.40
UNITED CONSTRUCTION & FORESTRY LLC,GENERAL FUND - TOWN,EXPENSES,PARTS AND MAITENANCE,2025-12-09T00:00:00.000,782.78
