muni,dor_code,population,ch70,school_transport,charter_reimb,school_choice_recv,ugga,veterans,exempt_vbs_eld,public_libs,regional_libs,state_owned_land,smart_growth,total_receipts,mbta_charge,charter_send,school_choice_send,mapc_charge,mosquito_charge,total_charges,net_aid,net_per_capita,ch70_per_capita,ugga_per_capita
Arlington,010,47112,20246693,0,141772,0,9444336,135393,107586,125031,0,0,0,30200811,3538602,553494,138358,27965,0,4314369,25886442,549,430,200
Beverly,030,43223,15674495,0,87817,743500,7269727,396758,234500,111346,0,4892,109160,24632195,1082508,498132,660308,25665,95628,2466754,22165441,513,363,168
Boston,035,673458,245309561,0,39515752,0,235850254,1528973,1106431,1476335,4850000,722416,0,530359722,100351540,296367091,4667235,395798,298011,408323912,122035810,181,364,350
Boxford,038,8334,2044923,0,2384,0,605156,20665,36096,18418,0,274805,0,3002447,0,21060,0,0,99414,193277,2809170,337,245,73
Brookline,046,63925,17784893,0,11515,0,7903553,97126,26338,156317,0,0,0,25979742,6442352,126981,76479,38185,0,8011170,17968572,281,278,124
Burlington,048,26977,10503556,0,50148,86217,3260107,33775,136605,63583,0,0,0,14133991,678569,152608,301917,16088,0,1183797,12950194,480,389,121
Cambridge,049,121186,22664367,0,3440793,0,26743429,286784,134307,267805,0,0,0,53537485,12095807,22845819,286434,71694,0,35976858,17560627,145,187,221
Cohasset,065,8532,3333035,0,52969,0,640466,23952,55119,23418,0,0,0,4128959,214670,159486,31341,5090,53659,613880,3515079,412,391,75
Danvers,071,28590,10137350,0,44486,0,3545568,90938,196881,74646,0,487134,0,14577003,713589,363649,434796,16918,73745,1658596,12918407,452,355,124
Framingham,100,73361,92499182,0,1882096,0,12385165,334381,244036,199379,0,911048,0,108455287,194383,6815108,721473,43465,0,9750113,98705174,1345,1261,169
Gloucester,107,30491,12161741,0,18335,261262,4971845,216271,221023,66410,0,43259,0,17960146,0,18335,2193294,18169,0,2720386,15239760,500,399,163
Hamilton,119,7670,0,0,0,0,836376,52709,38496,20931,0,239231,0,1187743,34901,0,0,4601,62377,268019,919724,120,0,109
Hingham,131,24414,9439417,0,181138,0,1964656,77836,118436,65564,0,7123,0,11854170,618762,311657,53764,14670,130207,1301170,10553000,432,387,80
Ipswich,144,14110,4538746,0,0,378098,1998286,131217,114117,33060,0,667492,0,7861016,0,0,137264,8432,137927,407721,7453295,528,322,142
Lexington,155,34743,19344035,0,81758,0,1907846,19236,90164,89563,0,0,0,21532602,866712,252258,90919,20549,0,1264133,20268469,583,557,55
Lynn,163,103489,317126307,0,6388230,0,27871929,423155,237390,310141,0,3800,0,352360952,2589777,40804241,2049342,61400,86419,45843862,306517090,2962,3064,269
Lynnfield,164,13230,6502690,0,93477,0,1294692,21488,79712,31879,0,74677,0,8098615,333414,246074,20541,7905,53867,677154,7421461,561,492,98
Malden,165,66693,69770045,0,1583912,0,15618098,64395,187133,192043,0,0,0,87415626,4998369,11119771,485513,39502,0,16917204,70498422,1057,1046,234
Marblehead,168,20576,7006279,0,556349,0,1417584,59135,129339,43468,0,0,0,9212154,519178,1827544,99126,12309,46126,2530068,6682086,325,341,69
Melrose,178,29938,13285756,0,1326893,0,6384267,144728,127875,72983,0,2173,0,21344675,750961,5016647,210504,17804,0,6055630,15289045,511,444,213
Nahant,196,3338,622905,0,59737,0,470363,36527,31977,6998,0,2221,0,1230728,84415,286716,26882,2001,9158,438526,792202,237,187,141
Natick,198,37316,14509257,0,94134,60983,4743740,94931,155135,92189,0,199481,0,19949850,113882,262200,151532,22147,93347,1527810,18422040,494,389,127
Needham,199,32931,14721434,0,4316,0,2173170,13059,43282,79810,0,0,0,17035071,822586,63745,107790,19502,127040,1679947,15355124,466,447,66
Peabody,229,55418,38124801,0,883790,327168,8986172,6136,325592,143594,0,18900,0,48816153,1382770,3274068,603404,32784,98645,5496491,43319662,782,688,162
Reading,246,26041,12326033,0,19160,371256,4035767,60853,181273,65948,0,64978,0,17125268,650456,65535,115904,15421,0,875521,16249747,624,473,155
Revere,248,60702,107214598,0,2189928,0,12805746,328587,501167,153217,0,970,0,123194213,4447445,12723604,732267,35148,59022,21057507,102136706,1683,1766,211
Rockport,252,7091,1726466,0,0,1279423,544722,23033,32821,16260,0,35722,0,3658447,0,0,310135,4238,0,1165564,2492883,352,243,77
Salem,258,45677,31038303,0,963230,610521,8587535,346214,171852,125894,0,124539,0,41968088,1144566,9150111,833537,27136,59226,11396265,30571823,669,680,188
Saugus,262,29029,16170602,0,674760,0,4567132,114958,176334,73171,0,14151,0,21791108,732365,5096017,360791,17363,64282,6344770,15446338,532,557,157
Stoneham,284,24550,7891703,0,774480,0,4626603,86770,185796,57658,0,4611,0,13627621,584613,4187653,137276,13860,0,4954873,8672748,353,321,188
Swampscott,291,15658,5783630,0,121173,0,1611377,21209,69381,43907,0,2931,0,7653608,396162,1104741,173432,9392,26671,1730599,5923009,378,369,103
Topsfield,298,6620,1635187,0,0,0,763570,0,42861,18769,0,232760,0,2693147,167398,0,5000,3969,54577,236028,2457119,371,247,115
Wakefield,305,29216,9402623,0,441955,0,4193865,47091,207415,78901,0,58157,0,14430007,711389,1866445,75996,16866,0,2761217,11668790,399,322,144
Waltham,308,65849,26380926,0,20101,0,11954407,128253,146915,159030,0,7918,0,38797550,1649342,178603,231213,39104,0,2224459,36573091,555,401,182
Wellesley,317,31242,10942336,0,10321,0,1612663,20930,42391,91809,0,0,0,12720450,83116,0,40323,18639,0,1497214,11223236,359,350,52
Wenham,320,4945,0,0,0,0,533242,1054,49252,15259,0,5586,0,604393,126802,0,0,3006,33413,167995,436398,88,0,108
Winchester,344,23953,11388803,0,31626,0,1841899,3499,79840,55561,0,35256,0,13436484,584178,50116,35525,13850,0,719415,12717069,531,475,77
