school_year,district,total_enrollment,metco,other_nonresident,total_nonresident,mps_resident_enrollment
2013-14,Marblehead,3293,81,28,109,3184
2014-15,Marblehead,3245,87,30,117,3128
2015-16,Marblehead,3208,81,33,114,3094
2016-17,Marblehead,3144,76,36,112,3032
2017-18,Marblehead,3096,74,36,110,2986
2018-19,Marblehead,3051,64,35,99,2952
2019-20,Marblehead,2963,58,39,97,2866
2020-21,Marblehead,2704,55,33,88,2616
2021-22,Marblehead,2601,45,37,82,2519
2022-23,Marblehead,2622,44,33,77,2545
2023-24,Marblehead,2617,51,35,86,2531
2024-25,Marblehead,2564,45,31,76,2488
2025-26,Marblehead,2389,47,21,68,2321
