district,fiscal_year,total_enrollment,source_url,source_description
Arlington,2024,5997,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Brookline,2024,7039,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Cohasset,2024,1406,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Duxbury,2024,2755,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Easton,2024,3401,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Framingham,2024,9134,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Hingham,2024,3707,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Lexington,2024,6805,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Marblehead,2024,2617,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Melrose,2024,3892,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Natick,2024,5303,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Needham,2024,5541,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Newton,2024,11752,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Stoneham,2024,2289,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Swampscott,2024,2078,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Wellesley,2024,4101,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
Winchester,2024,4331,https://educationtocareer.data.mass.gov/resource/t8td-gens,"DESE E2C Hub Enrollment by Grade/Race/Ethnicity/Gender/Selected Populations, SY2023-24"
