district,school_year,role,fte,source
Marblehead,2008,Tutors,2.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2008,Paraprofessionals,104.7,DESE EPIMS via E2C Hub Socrata API
Marblehead,2008,Co-teachers,0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2008,Special ed related,12.1,DESE EPIMS via E2C Hub Socrata API
Marblehead,2008,School counselors,10.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2008,Administrators,20.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2008,Teachers (core),193.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2009,Tutors,40.9,DESE EPIMS via E2C Hub Socrata API
Marblehead,2009,Paraprofessionals,81.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2009,Co-teachers,0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2009,Special ed related,16.6,DESE EPIMS via E2C Hub Socrata API
Marblehead,2009,School counselors,11.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2009,Administrators,21.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2009,Teachers (core),205.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2010,Tutors,63.9,DESE EPIMS via E2C Hub Socrata API
Marblehead,2010,Paraprofessionals,63.9,DESE EPIMS via E2C Hub Socrata API
Marblehead,2010,Co-teachers,0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2010,Special ed related,16.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2010,School counselors,10.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2010,Administrators,23.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2010,Teachers (core),204.9,DESE EPIMS via E2C Hub Socrata API
Marblehead,2011,Tutors,65.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2011,Paraprofessionals,57.1,DESE EPIMS via E2C Hub Socrata API
Marblehead,2011,Co-teachers,0.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2011,Special ed related,17.9,DESE EPIMS via E2C Hub Socrata API
Marblehead,2011,School counselors,11.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2011,Administrators,19.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2011,Teachers (core),197.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2012,Tutors,59.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2012,Paraprofessionals,53.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2012,Co-teachers,2.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2012,Special ed related,16.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2012,School counselors,11.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2012,Administrators,21.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2012,Teachers (core),191.7,DESE EPIMS via E2C Hub Socrata API
Marblehead,2013,Tutors,57.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2013,Paraprofessionals,52.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2013,Co-teachers,2.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2013,Special ed related,16.7,DESE EPIMS via E2C Hub Socrata API
Marblehead,2013,School counselors,10.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2013,Administrators,22.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2013,Teachers (core),194.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2014,Tutors,67.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2014,Paraprofessionals,63.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2014,Co-teachers,11.9,DESE EPIMS via E2C Hub Socrata API
Marblehead,2014,Special ed related,18.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2014,School counselors,10.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2014,Administrators,22.1,DESE EPIMS via E2C Hub Socrata API
Marblehead,2014,Teachers (core),193.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2015,Tutors,68.6,DESE EPIMS via E2C Hub Socrata API
Marblehead,2015,Paraprofessionals,62.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2015,Co-teachers,8.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2015,Special ed related,16.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2015,School counselors,12.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2015,Administrators,24.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2015,Teachers (core),208.7,DESE EPIMS via E2C Hub Socrata API
Marblehead,2016,Tutors,63.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2016,Paraprofessionals,51.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2016,Co-teachers,15.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2016,Special ed related,18.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2016,School counselors,11.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2016,Administrators,25.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2016,Teachers (core),203.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2017,Tutors,68.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2017,Paraprofessionals,54.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2017,Co-teachers,27.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2017,Special ed related,24.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2017,School counselors,11.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2017,Administrators,27.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2017,Teachers (core),189.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2018,Tutors,65.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2018,Paraprofessionals,48.7,DESE EPIMS via E2C Hub Socrata API
Marblehead,2018,Co-teachers,39.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2018,Special ed related,21.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2018,School counselors,11.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2018,Administrators,26.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2018,Teachers (core),175.9,DESE EPIMS via E2C Hub Socrata API
Marblehead,2019,Tutors,58.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2019,Paraprofessionals,43.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2019,Co-teachers,33.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2019,Special ed related,19.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2019,School counselors,11.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2019,Administrators,26.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2019,Teachers (core),193.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2020,Tutors,58.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2020,Paraprofessionals,42.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2020,Co-teachers,22.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2020,Special ed related,20.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2020,School counselors,11.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2020,Administrators,25.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2020,Teachers (core),201.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2021,Tutors,60.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2021,Paraprofessionals,31.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2021,Co-teachers,2.7,DESE EPIMS via E2C Hub Socrata API
Marblehead,2021,Special ed related,24.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2021,School counselors,13.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2021,Administrators,23.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2021,Teachers (core),216.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2022,Tutors,60.1,DESE EPIMS via E2C Hub Socrata API
Marblehead,2022,Paraprofessionals,21.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2022,Co-teachers,19.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2022,Special ed related,18.8,DESE EPIMS via E2C Hub Socrata API
Marblehead,2022,School counselors,14.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2022,Administrators,21.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2022,Teachers (core),200.6,DESE EPIMS via E2C Hub Socrata API
Marblehead,2023,Tutors,57.6,DESE EPIMS via E2C Hub Socrata API
Marblehead,2023,Paraprofessionals,18.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2023,Co-teachers,24.6,DESE EPIMS via E2C Hub Socrata API
Marblehead,2023,Special ed related,20.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2023,School counselors,15.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2023,Administrators,22.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2023,Teachers (core),181.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2024,Tutors,18.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2024,Paraprofessionals,52.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2024,Co-teachers,27.7,DESE EPIMS via E2C Hub Socrata API
Marblehead,2024,Special ed related,17.6,DESE EPIMS via E2C Hub Socrata API
Marblehead,2024,School counselors,13.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2024,Administrators,26.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2024,Teachers (core),215.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2025,Tutors,31.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2025,Paraprofessionals,43.4,DESE EPIMS via E2C Hub Socrata API
Marblehead,2025,Co-teachers,24.6,DESE EPIMS via E2C Hub Socrata API
Marblehead,2025,Special ed related,20.1,DESE EPIMS via E2C Hub Socrata API
Marblehead,2025,School counselors,12.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2025,Administrators,25.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2025,Teachers (core),175.2,DESE EPIMS via E2C Hub Socrata API
Marblehead,2026,Tutors,73.5,DESE EPIMS via E2C Hub Socrata API
Marblehead,2026,Paraprofessionals,14.1,DESE EPIMS via E2C Hub Socrata API
Marblehead,2026,Co-teachers,29.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2026,Special ed related,19.3,DESE EPIMS via E2C Hub Socrata API
Marblehead,2026,School counselors,12.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2026,Administrators,26.0,DESE EPIMS via E2C Hub Socrata API
Marblehead,2026,Teachers (core),169.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2008,Tutors,0.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2008,Paraprofessionals,81.6,DESE EPIMS via E2C Hub Socrata API
Melrose,2008,Co-teachers,0,DESE EPIMS via E2C Hub Socrata API
Melrose,2008,Special ed related,11.9,DESE EPIMS via E2C Hub Socrata API
Melrose,2008,School counselors,6.8,DESE EPIMS via E2C Hub Socrata API
Melrose,2008,Administrators,28.3,DESE EPIMS via E2C Hub Socrata API
Melrose,2008,Teachers (core),237.5,DESE EPIMS via E2C Hub Socrata API
Melrose,2009,Tutors,0.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2009,Paraprofessionals,96.5,DESE EPIMS via E2C Hub Socrata API
Melrose,2009,Co-teachers,0,DESE EPIMS via E2C Hub Socrata API
Melrose,2009,Special ed related,14.8,DESE EPIMS via E2C Hub Socrata API
Melrose,2009,School counselors,6.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2009,Administrators,28.5,DESE EPIMS via E2C Hub Socrata API
Melrose,2009,Teachers (core),236.8,DESE EPIMS via E2C Hub Socrata API
Melrose,2010,Tutors,2.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2010,Paraprofessionals,85.5,DESE EPIMS via E2C Hub Socrata API
Melrose,2010,Co-teachers,0,DESE EPIMS via E2C Hub Socrata API
Melrose,2010,Special ed related,14.8,DESE EPIMS via E2C Hub Socrata API
Melrose,2010,School counselors,7.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2010,Administrators,27.3,DESE EPIMS via E2C Hub Socrata API
Melrose,2010,Teachers (core),237.9,DESE EPIMS via E2C Hub Socrata API
Melrose,2011,Tutors,4.3,DESE EPIMS via E2C Hub Socrata API
Melrose,2011,Paraprofessionals,94.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2011,Co-teachers,60.3,DESE EPIMS via E2C Hub Socrata API
Melrose,2011,Special ed related,16.2,DESE EPIMS via E2C Hub Socrata API
Melrose,2011,School counselors,5.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2011,Administrators,25.1,DESE EPIMS via E2C Hub Socrata API
Melrose,2011,Teachers (core),187.8,DESE EPIMS via E2C Hub Socrata API
Melrose,2012,Tutors,1.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2012,Paraprofessionals,103.3,DESE EPIMS via E2C Hub Socrata API
Melrose,2012,Co-teachers,1.0,DESE EPIMS via E2C Hub Socrata API
Melrose,2012,Special ed related,18.7,DESE EPIMS via E2C Hub Socrata API
Melrose,2012,School counselors,7.2,DESE EPIMS via E2C Hub Socrata API
Melrose,2012,Administrators,23.1,DESE EPIMS via E2C Hub Socrata API
Melrose,2012,Teachers (core),217.2,DESE EPIMS via E2C Hub Socrata API
Melrose,2013,Tutors,4.3,DESE EPIMS via E2C Hub Socrata API
