district,school_year,gen_ed_fte,sped_fte,career_tech_fte,el_fte,total_teacher_fte,source
Marblehead,2008,191.8,44.3,0.0,0.0,236.2,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2009,197.3,39.9,1.6,0.0,238.7,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2010,195.9,39.4,0.6,0.0,235.9,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2011,192.0,42.1,1.0,0.0,235.1,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2012,192.7,38.7,1.0,0.0,232.4,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2013,189.5,38.9,1.5,0.9,230.7,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2014,211.0,34.0,0.0,0.0,245.0,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2015,210.1,44.6,0.0,2.0,256.8,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2016,215.3,43.6,0.0,2.5,261.5,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2017,216.4,45.5,0.0,2.0,263.9,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2018,210.4,47.2,0.0,3.4,261.0,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2019,222.2,31.0,0.0,4.4,257.6,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2020,231.4,22.9,0.0,2.8,257.2,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2021,223.7,28.6,0.0,4.4,256.7,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2022,209.6,41.3,0.0,0.8,251.6,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2023,193.5,51.8,0.0,4.6,250.0,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2024,184.5,56.7,0.0,4.6,245.7,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2025,190.4,29.3,0.0,5.4,225.1,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
Marblehead,2026,191.1,30.0,0.0,3.7,224.8,educationtocareer.data.mass.gov/resource/vd2f-ib9q.json
