district,school_year,fte_total,source
Marblehead,2008,444.7,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2009,472.1,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2010,475.0,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2011,465.0,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2012,454.4,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2013,446.5,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2014,480.9,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2015,501.8,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2016,494.9,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2017,510.2,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2018,504.2,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2019,483.9,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2020,480.3,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2021,466.3,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2022,449.7,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2023,445.4,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2024,431.8,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2025,422.6,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
Marblehead,2026,430.2,educationtocareer.data.mass.gov/resource/j5ue-xkfn.json
