municipality,measurement_year,opeb_total_liability,opeb_net_liability,funded_ratio_pct,source_url,source_note
Marblehead,2025,146998774,142044651,3.37,https://github.com/agbaber/marblehead/releases/download/source-archive-v1/fy25_acfr.pdf,"Town of Marblehead FY25 ACFR, 6/30/2025 OPEB note: Total OPEB Liability $146,998,774; Plan Fiduciary Net Position $4,954,123; Net OPEB Liability $142,044,651; funded ratio 3.37%. Cross-check: PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns) lists Marblehead at the SAME measurement date 6/30/2025 with TOL $146,999K, FNP $4,954K, NOL $142,045K, funded ratio 3.4% (report rounds to nearest $1,000 and one decimal). No discrepancy; figures agree. Using exact ACFR dollars here."
Arlington,2023,216049000,194250000,10.1,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2023. Dollars are report thousands x1000; report rounds to nearest $1,000."
Brookline,2023,281250000,189638000,32.6,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2023. Dollars are report thousands x1000; report rounds to nearest $1,000."
Cohasset,2025,42288000,32978000,22.0,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2025. Dollars are report thousands x1000; report rounds to nearest $1,000."
Duxbury,2024,51720000,45658000,11.7,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2024. Dollars are report thousands x1000; report rounds to nearest $1,000."
Easton,2024,142460000,142036000,0.3,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2024. Dollars are report thousands x1000; report rounds to nearest $1,000."
Framingham,2024,277037000,266791000,3.7,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2024. Dollars are report thousands x1000; report rounds to nearest $1,000."
Hingham,2024,96866000,66892000,30.9,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2024. Dollars are report thousands x1000; report rounds to nearest $1,000."
Lexington,2024,265620000,231491000,12.8,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2024. Dollars are report thousands x1000; report rounds to nearest $1,000."
Melrose,2023,168841000,167686000,0.7,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"PERAC May 2026 OPEB Summary Report (Commonwealth, Cities, and Towns), measurement date 6/30/2023. Dollars are report thousands x1000; report rounds to nearest $1,000."
STATEWIDE_MEDIAN,2026,,,7.45,https://www.mass.gov/doc/may-2026-opeb-summary-report-download/download,"DERIVED: median funded ratio of the 302 individual cities-and-towns rows in the PERAC May 2026 OPEB Summary Report (Commonwealth row excluded). 57.3% of towns (173/302) are under 10% funded, matching the report's stated 'a little more than one-half.' Context (stated in report intro, not derived): cumulative city/town funded ratio 9.8% ($30.9B total OPEB liability, $3.0B fiduciary net position across ~300 towns)."
