municipality,population,dor_income_per_capita,eqv_per_capita,avg_sf_tax_bill,bill_pct_income,residential_tax_rate,residential_pct_of_levy,total_tax_levy,levy_per_capita,new_growth,new_growth_pct_of_levy,education_spending,education_pct_of_gf,total_assessed_value,free_cash,bond_rating_sp,land_area_sqmi
Abington,17090,46123,191838,7536,16.3,13.06,90.28,42906155,2511,185450,0.43,31187061,47.8,3285310500,4088328,AA,9.96
Acton,24539,86470,278538,15220,17.6,17.15,89.94,114958332,4685,1063231,0.92,74954556,66.9,6703109726,5137003,AAA,19.87
Acushnet,10700,43749,184882,5244,12.0,10.79,85.24,22780366,2129,190822,0.84,18286266,54.1,2020518851,1684419,AA+,18.43
Adams,7992,29153,98831,4138,14.2,17.01,79.8,14611523,1828,98410,0.67,7505004,41.4,811554340,684885,AA-,22.89
Agawam,28749,36291,152694,5190,14.3,14.64,66.15,75384493,2622,1500198,1.99,49364847,52.2,4327353158,14309339,AA+,23.32
Alford,483,48215,803195,5191,10.8,4.95,97.77,1863455,3858,20091,1.08,476809,21.6,376455596,422742,,11.51
Amesbury,17617,48641,223185,9868,20.3,15.3,88.47,59435534,3374,670753,1.13,39394508,53.5,3884675431,7550204,AA,12.29
Amherst,40989,21800,89503,9957,45.7,17.95,88.45,67803711,1654,1244067,1.83,44020309,52.2,3777365517,10422416,AA+,27.62
Andover,36927,102125,352603,13176,12.9,12.49,70.54,191831670,5195,2268885,1.18,100503026,54.0,13177172534,18978730,AAA,30.82
Aquinnah,451,53350,2187141,12677,23.8,6.76,98.09,6556170,14537,41217,0.63,2207106,32.5,969847575,797357,,5.33
Arlington,47112,83690,337342,11947,14.3,10.77,94.73,166227537,3528,1435669,0.86,98738122,47.6,15434311668,20597993,AAA,5.14
Ashburnham,6522,41761,175796,6246,15.0,14.87,96.78,17131952,2627,224029,1.31,8798615,46.5,1152115116,2423139,,38.33
Ashby,3270,39913,166946,6225,15.6,15.23,94.42,8083580,2472,52684,0.65,5157808,52.5,530766923,1444554,,23.66
Ashfield,1685,36404,237767,5518,15.2,13.46,82.39,5428360,3222,297124,5.47,2820107,47.4,403295684,789072,,39.99
Ashland,19391,64835,236070,9372,14.5,12.77,91.6,58356038,3009,326585,0.56,41686416,54.7,4569775851,2792803,AAA,12.34
Athol,12105,27709,116185,3924,14.2,12.71,88.06,17903478,1479,212086,1.18,5444148,22.3,1408613539,1319587,AA-,32.3
Attleboro,47085,41996,160316,6304,15.0,12.55,80.61,99949385,2123,1481902,1.48,85395655,55.8,7460699591,12858202,AA,26.78
Auburn,17323,43964,191195,6307,14.3,14.29,73.48,49043484,2831,822061,1.68,31790594,44.6,3332863982,19234268,AA+,15.49
Avon,4801,44742,258259,7643,17.1,13.34,43.2,23857785,4969,280259,1.17,11249995,35.5,1270322620,2357462,AA+,4.29
Ayer,9010,46946,212082,6625,14.1,11.96,53.34,30302245,3363,1054077,3.48,14691738,49.3,1912691436,3261808,AA+,8.95
Barnstable,49831,52832,527697,5599,10.6,6.94,89.54,151135942,3033,1720589,1.14,87161902,47.4,24779057159,30900988,AAA,59.93
Barre,5631,33914,139075,5053,14.9,13.59,89.82,10431072,1852,124386,1.19,6878719,51.1,767555000,168230,,44.35
Becket,1922,38186,391019,3670,9.6,8.76,90.95,6681839,3477,32916,0.49,3207379,38.9,762767061,887593,,46.06
Bedford,14955,87571,379474,12985,14.8,12.04,59.86,86431184,5779,2464661,2.85,49429316,44.6,5576272940,22388194,AAA,13.66
Belchertown,15372,46265,154464,6622,14.3,14.51,93.54,34598463,2251,357129,1.03,29321093,53.1,2384456468,1743892,AA,52.6
Bellingham,17998,45801,226491,6073,13.3,12.56,62.97,58016807,3224,1979661,3.41,35682158,53.7,4018665887,4761443,AA+,18.34
Belmont,27442,112427,437049,19579,17.4,11.39,94.64,132509613,4829,936672,0.71,63001849,47.8,11633855368,8303502,AAA,4.65
Berkley,6892,51468,194745,6985,13.6,12.01,95.4,16344865,2372,159614,0.98,15703799,67.0,1360937959,585417,,16.51
Berlin,3479,77907,303755,9951,12.8,14.19,79.17,15116537,4345,223817,1.48,9407859,56.1,984816023,1389829,AA+,12.97
Bernardston,2109,39100,159318,5019,12.8,14.27,82.39,5097692,2417,192637,3.78,3450211,59.3,357231361,1118871,,23.39
Beverly,43223,56939,249288,8834,15.5,10.99,78.87,129833221,3004,1533967,1.18,76079317,54.6,10596884870,10713896,AA+,15.09
Billerica,42978,51629,261494,7484,14.5,11.37,61.35,161863891,3766,2975306,1.84,86958054,52.0,11209762666,5270904,AA+,25.57
Blackstone,9374,40976,158520,6843,16.7,15.1,78.97,23760487,2535,604238,2.54,12669762,45.6,1573542197,3070447,AA+,11.11
Blandford,1209,37797,255680,4680,12.4,11.71,72.0,3620278,2994,13819,0.38,1726315,39.7,309161238,672906,,51.58
Bolton,5809,91886,295354,15643,17.0,16.62,95.09,27566432,4745,118482,0.43,18724038,64.7,1658630080,760052,AAA,19.95
