municipality,per_capita_income
Abington,46123
Acton,86470
Acushnet,43749
Adams,29153
Agawam,36291
Alford,48215
Amesbury,48641
Amherst,21800
Andover,102125
Arlington,83690
Ashburnham,41761
Ashby,39913
Ashfield,36404
Ashland,64835
Athol,27709
Attleboro,41996
Auburn,43964
Avon,44742
Ayer,46946
Barnstable,52832
Barre,33914
Becket,38186
Bedford,87571
Belchertown,46265
Bellingham,45801
Belmont,112427
Berkley,51468
Berlin,77907
Bernardston,39100
Beverly,56939
Billerica,51629
Blackstone,40976
Blandford,37797
Bolton,91886
Boston,65287
Bourne,49345
Boxborough,79592
Boxford,108467
Boylston,72411
Braintree,52904
Brewster,55197
Bridgewater,42207
Brimfield,46024
Brockton,27098
Brookfield,35587
Brookline,100201
Buckland,28077
Burlington,68206
Cambridge,78192
Canton,73374
Carlisle,147135
Carver,40588
Charlemont,39154
Charlton,49247
Chatham,92760
Chelmsford,70664
Chelsea,27806
Cheshire,38898
Chester,31276
Chesterfield,27479
Chicopee,26096
Chilmark,88995
Clarksburg,32061
Clinton,37609
Cohasset,154676
Colrain,35363
Concord,170977
Conway,47575
Cummington,76231
Dalton,40563
Danvers,55853
Dartmouth,47163
Dedham,72590
Deerfield,53034
Dennis,49780
Dighton,45606
Douglas,49751
Dover,264727
Dracut,44670
Dudley,37640
Dunstable,71129
Duxbury,113703
East Bridgewater,45166
East Brookfield,40426
East Longmeadow,53447
Eastham,47154
Easthampton,39372
Easton,64748
Edgartown,79087
Egremont,43313
Erving,29783
Essex,78483
Everett,26405
Fairhaven,38858
Fall River,23335
Falmouth,58210
Fitchburg,27202
Florida,24215
Foxborough,64808
Framingham,46614
Franklin,64589
Freetown,46146
Gardner,27230
Aquinnah,53350
Georgetown,63856
Gill,29193
Gloucester,51424
Goshen,17510
Gosnold,21887
Grafton,64906
Granby,44484
Granville,42644
Great Barrington,55904
Greenfield,27634
Groton,87629
Groveland,53587
Hadley,45659
Halifax,46544
Hamilton,101901
Hampden,48405
Hancock,21588
Hanover,75870
Hanson,49839
Hardwick,30462
Harvard,79350
Harwich,54010
Hatfield,45539
Haverhill,37314
Hawley,23000
Heath,15471
Hingham,148511
Hinsdale,46235
Holbrook,40811
Holden,55612
Holland,40450
Holliston,72144
Holyoke,23575
Hopedale,53217
Hopkinton,98303
Hubbardston,43818
Hudson,49620
Hull,56885
Huntington,39947
Ipswich,74292
Kingston,54094
Lakeville,54553
Lancaster,44043
Lanesborough,41749
Lawrence,22481
Lee,41675
Leicester,40942
Lenox,104878
Leominster,36535
Leverett,47345
Lexington,144186
Leyden,64633
Lincoln,159009
Littleton,72357
Longmeadow,86448
Lowell,27486
Ludlow,37001
Lunenburg,50263
Lynn,27523
Lynnfield,104802
Malden,36430
Manchester By The Sea,171950
Mansfield,62350
Marblehead,115422
Marion,76116
Marlborough,43158
Marshfield,68318
Mashpee,56318
Mattapoisett,80037
Maynard,53406
Medfield,111805
Medford,55839
Medway,69807
Melrose,69170
Mendon,66023
Merrimac,52905
Methuen,38729
Middleborough,40662
Middlefield,24970
Middleton,78211
Milford,40990
Millbury,45239
Millis,61956
Millville,41356
Milton,107276
Monroe,6348
Monson,38786
Montague,29366
Monterey,52418
Montgomery,40480
Mount Washington,71739
Nahant,74827
Nantucket,90622
Natick,77821
Needham,139002
New Ashford,30799
New Bedford,23310
New Braintree,49500
New Marlborough,45527
New Salem,31610
Newbury,85166
Newburyport,79681
Newton,167243
Norfolk,73622
North Adams,22124
North Andover,69633
North Attleborough,50966
North Brookfield,36364
North Reading,82388
Northampton,44647
Northborough,75270
Northbridge,46854
Northfield,38501
Norton,47933
Norwell,119269
Norwood,58355
Oak Bluffs,34583
Oakham,45354
Orange,26055
Orleans,69762
Otis,49442
Oxford,39486
Palmer,31465
Paxton,49307
Peabody,41212
Pelham,46113
Pembroke,56690
Pepperell,51009
Peru,26960
Petersham,46437
Phillipston,44156
Pittsfield,33558
Plainfield,30320
Plainville,51750
Plymouth,49272
Plympton,53567
Princeton,71066
Provincetown,90125
Quincy,48421
Randolph,34979
Raynham,49678
Reading,81402
Rehoboth,57761
Revere,33133
Richmond,60195
Rochester,55216
Rockland,39777
Rockport,62753
Rowe,34659
Rowley,62574
Royalston,30277
Russell,40382
Rutland,46916
Salem,41885
Salisbury,42733
Sandisfield,25908
Sandwich,56002
Saugus,46142
Savoy,35295
Scituate,92061
Seekonk,48467
Sharon,85745
Sheffield,43068
Shelburne,28277
Sherborn,352250
Shirley,40056
Shrewsbury,73712
Shutesbury,36218
Somerset,40386
Somerville,61870
South Hadley,38042
Southampton,50794
Southborough,127127
Southbridge,25930
Southwick,47950
Spencer,36226
Springfield,20404
Sterling,58549
Stockbridge,52892
Stoneham,58058
Stoughton,42818
Stow,86756
Sturbridge,55434
Sudbury,125429
Sunderland,36047
Sutton,68076
Swampscott,76071
Swansea,42390
Taunton,32523
Templeton,35318
Tewksbury,52132
Tisbury,31588
Tolland,34310
Topsfield,95770
Townsend,42958
Truro,60587
Tyngsborough,52345
Tyringham,27933
Upton,67417
Uxbridge,47913
Wakefield,60266
Wales,30802
Walpole,73347
Waltham,49410
Ware,28885
Wareham,32017
Warren,24434
Warwick,26530
Washington,40278
Watertown,63164
Wayland,156292
Webster,34788
Wellesley,212430
Wellfleet,58327
Wendell,24472
Wenham,97669
West Boylston,46024
West Bridgewater,54184
West Brookfield,44918
West Newbury,85332
West Springfield,37351
West Stockbridge,62534
West Tisbury,40720
Westborough,67279
Westfield,34787
Westford,82930
Westhampton,55175
Westminster,50728
Weston,340262
Westport,54579
Westwood,127497
Weymouth,45212
Whately,31550
Whitman,42535
Wilbraham,54903
Williamsburg,34490
Williamstown,35464
Wilmington,60329
Winchendon,28782
Winchester,143928
Windsor,40977
Winthrop,47434
Woburn,52300
Worcester,26358
Worthington,50738
Wrentham,73106
Yarmouth,43768
