FY,Education_Expenditure,Note
2001,21497375,
2002,22929034,
2003,21804045,
2004,24776903,
2005,25346557,
2006,27185424,
2007,28195979,
2008,30042340,
2009,31437324,
2010,32711645,
2011,33258875,
2012,24840586,Anomaly - likely accounting change
2013,34488972,
2014,36141943,
2015,36777030,
2016,39049399,
2017,40923146,
2018,43080416,
2019,45035283,
2020,45315531,
2021,45217346,
2022,38294070,Anomaly - likely GASB adjustment
2023,60156453,Anomaly - includes prior year adjustments
2024,51350385,
