FY,Enrollment,Education_Expenditure,Per_Student,Education_FTE,Students_Per_FTE
2001,2792,21497375,7700,400.1,7.0
2002,2875,22929034,7975,414.3,6.9
2003,2970,21804045,7341,424.2,7.0
2004,3003,24776903,8251,426.0,7.0
2005,3067,25346557,8264,448.4,6.8
2006,3133,27185424,8677,466.32,6.7
2007,3242,28195979,8697,474.67,6.8
2008,3212,30042340,9353,479.79,6.7
2009,3262,31437324,9637,488.11,6.7
2010,3232,32711645,10121,487.71,6.6
2011,3206,33258875,10374,488.01,6.6
2013,3269,34488972,10550,490.0,6.7
2014,3327,36141943,10863,492.0,6.8
2015,3245,36777030,11333,489.8,6.6
2016,3208,39049399,12173,489.17,6.6
2017,3264,40923146,12538,493.17,6.6
2018,3185,43080416,13526,504.2,6.3
2019,3051,45035283,14761,483.9,6.3
2020,2963,45315531,15294,480.3,6.2
2021,2703,45217346,16729,483.87,5.6
2024,2617,51350385,19622,537.0,4.9
