fiscal_year,original_budget,final_budget,actual,encumbrances,variance_unspent,variance_pct_of_final,source_acfr,acfr_schedule,mdna_quote
FY14,11648685,11648685,10083710,133828,1431147,12.3,FY14_ACFR.pdf,"General Fund Schedule of Revenues, Expenditures and Changes in Fund Balances - Budget and Actual","Actual expenditures ended the year approximately $2.7 million under budget. The most notable is the group insurance appropriation, which ended the year $1.4 million under budget."
FY15,12280277,12146448,9826265,0,2320183,19.1,FY15_ACFR.pdf,"General Fund Budget vs Actual","Actual expenditures ended the year approximately $3.1 million under budget. The most notable is the group insurance appropriation, which ended the year $2.3 million under budget."
FY16,12767880,12767880,10378199,0,2389681,18.7,FY16_ACFR.pdf,"General Fund Budget vs Actual","Actual expenditures ended the year approximately $3.6 million under budget. The most notable is the group insurance appropriation, which ended the year $2.4 million under budget."
FY17,13320570,13320570,10580051,0,2740519,20.6,FY17_ACFR.pdf,"General Fund Budget vs Actual","Actual expenditures ended the year approximately $4 million under budget. The most notable is the group insurance appropriation, which ended the year $2.7 million under budget."
FY18,13778934,13778934,11080919,0,2698015,19.6,FY18_ACFR.pdf,"General Fund Budget vs Actual","Actual expenditures ended the year approximately $3 million under budget. The most notable is the group insurance appropriation, which ended the year $2.7 million under budget."
FY19,13848753,13848753,11157717,0,2691036,19.4,FY19_ACFR.pdf,"General Fund Budget vs Actual","Appropriations exceeded actual expenditures and encumbrances by $3.4 million mainly due to group insurance surplus of $2.7 million; these surpluses were offset by the use of prior year resources to balance the 2019 budget."
FY20,14108380,14108380,11303115,0,2805265,19.9,FY20_ACFR.pdf,"General Fund Budget vs Actual","Appropriations exceeded actual expenditures and encumbrances by $4.2 million mainly due to group insurance surplus of $2.8 million; these surpluses were offset by the use of prior year resources to balance the 2020 budget."
FY21,14209813,14209813,11639454,5175,2565184,18.1,FY21_ACFR.pdf,"General Fund Budget vs Actual",
FY22,15127751,14747271,12098305,0,2648966,18.0,FY22_ACFR.pdf,"General Fund Budget vs Actual","Appropriations exceeded actual expenditures and encumbrances by $3.3 million mainly due to group insurance surplus of $2.6 million; these surpluses were offset by the use of prior year resources to balance the 2022 budget."
FY23,15891285,15801026,12330471,0,3470555,22.0,FY23_ACFR.pdf,"General Fund Budget vs Actual","Actual expenditures ended the year approximately $5.1 million under budget. The most notable is the group insurance appropriation, which ended the year $3.5 million under budget."
FY24,14652293,14561975,12152022,0,2409953,16.6,FY24_ACFR.pdf,"General Fund Budget vs Actual",
FY25,14473518,13367136,13007996,0,359140,2.7,fy25_acfr.pdf,"General Fund Budget vs Actual","Mid-year de-appropriation of $1,106,382 reduced original $14.47M budget to $13.37M final; actual landed within $359K of revised. First year in 12 to break the 12-22% structural pad pattern. FY25 MD&A general fund section says revenues and expenditures approximated each other, dropping the prior years standard insurance surplus language."
