fiscal_year,town_counsel_expense,basis,source_doc
FY04,29011,actual,FY04 ACFR budget-actual schedule
FY05,32636,actual,FY05 ACFR budget-actual schedule
FY06,47936,actual,FY06 ACFR budget-actual schedule
FY07,38168,actual,FY07 ACFR budget-actual schedule
FY08,66466,actual,FY08 ACFR budget-actual schedule
FY09,53267,actual,FY09 ACFR budget-actual schedule
FY10,60932,actual,FY10 ACFR budget-actual schedule
FY11,51802,actual,FY11 ACFR budget-actual schedule
FY12,60416,actual,FY12 ACFR budget-actual schedule
FY13,71402,actual,FY13 ACFR budget-actual schedule
FY14,73395,actual,FY14 ACFR budget-actual schedule
FY15,69494,actual,FY15 ACFR budget-actual schedule
FY16,81608,actual,FY16 ACFR budget-actual schedule
FY17,76370,actual,FY17 ACFR budget-actual schedule
FY18,133470,actual,FY18 ACFR budget-actual schedule
FY19,141529,actual,FY19 ACFR budget-actual schedule
FY20,152668,actual,FY20 ACFR budget-actual schedule
FY21,69943,actual,FY21 ACFR budget-actual schedule
FY22,120191,actual,FY22 ACFR budget-actual schedule
FY23,90079,actual,FY23 ACFR budget-actual schedule
FY24,88042,actual,FY24 ACFR budget-actual schedule
FY25,170352,expended_unaudited,FY27 Proposed Budget (FY25 Expended column)
FY26,113000,budget,FY27 Proposed Budget (FY26 Budget column)
FY27,276000,proposed,FY27 Proposed Budget (FY27 Proposed column)
