dor_code,municipality,fiscal_year,levy_limit_no_excl,max_levy_limit,total_levy,excess_levy_capacity,excess_pct,levy_ceiling,override_capacity
168,Marblehead,2007,40886499,45353888,45347717,6171,0.01,146094450,105207951
168,Marblehead,2008,42407401,46777260,46775321,1939,0.00,140213791,97806390
168,Marblehead,2009,44016991,48104027,48097849,6178,0.01,133753752,89736761
168,Marblehead,2010,45523653,50239716,50236885,2831,0.01,131235332,85711679
168,Marblehead,2011,47301454,51380501,51376323,4178,0.01,125799027,78497573
168,Marblehead,2012,48931038,53655184,53651430,3754,0.01,127498646,78567608
168,Marblehead,2013,50731840,54821657,54785294,36363,0.07,126233396,75501556
168,Marblehead,2014,52459472,56787719,56761148,26571,0.05,127955699,75496227
168,Marblehead,2015,54101450,59018013,59015212,2801,0.00,133157066,79055616
168,Marblehead,2016,55875187,61353020,61337920,15100,0.02,138148468,82273281
168,Marblehead,2017,57779806,63988023,63948938,39085,0.06,145206490,87426684
168,Marblehead,2018,59592925,66318935,66315447,3488,0.01,150443392,90850467
168,Marblehead,2019,61400179,67841293,67829212,12081,0.02,157889226,96489047
168,Marblehead,2020,63238414,69859220,69813033,46187,0.07,167981310,104742896
168,Marblehead,2021,65122516,72412972,72377500,35472,0.05,173650431,108527915
168,Marblehead,2022,67106065,76318627,76282235,36392,0.05,181279077,114173012
168,Marblehead,2023,69217826,79116674,79085270,31404,0.04,197713175,128495349
168,Marblehead,2024,71416980,82230071,82171513,58558,0.07,229273195,157856215
168,Marblehead,2025,73526842,84440496,84388724,51772,0.06,233118023,159591181
168,Marblehead,2026,75652398,84850634,84617969,232665,0.27,247131920,171479522
