date,stated_purpose
2015-02-18,"""Executive Session; Personnel Matters. Not to return to Open Session."" (Vote #2015-6)"
2015-04-30,"""Executive Session for policy strategy. Not to return to open session."" (Vote #2015-18)"
2015-05-21,"""Executive Session to discuss policy strategy. Not to return to Open Session."" (Vote #2015-22)"
2015-07-14,"""Executive Session to discuss personnel issues."" (Vote #2015-33; returned to open session)"
2015-08-28,"""Executive Session to discuss personnel issues. Not to return to Open Session."" (Vote #2015-39)"
2015-09-15,"""Executive Session to discuss personnel issues. Not to return to Open Session."" (Vote #2015-43)"
2015-11-02,"""Executive Session to discuss Contracts. Not to return to Open Session."" (Vote #2015-51)"
2016-05-18,"Executive session, no subject stated (Vote #2016/23; returned to open session)"
2016-06-08,"Executive session, no subject stated (Vote #2016-28; returned to open session)"
2016-09-27,"Executive session, no subject stated; not reconvening in open session (Vote #2016-51)"
2017-01-10,"""under M.G.L. c. 30A, Sec. 21(a)(10)"" [no subject stated]"
2017-01-25,"""under M.G.L. c. 30A, Sec. 21(a)(10), to discuss Special Project 2015A"""
2017-10-24,"""under M.G.L. c. 30A, Sec. 21(a)(2), to conduct strategy sessions in preparation for negotiations with nonunion personnel"""
2017-11-13,"""under M.G.L. c. 164, Sec. 47D, for protecting trade secrets, confidential, competitively sensitive or other proprietary information"""
2018-01-11,"""under M.G.L. c. 30A, Sec. 21(a)(2), to conduct strategy sessions in preparation for negotiations with nonunion personnel"""
2018-04-04,"""under M.G.L. c. 30A, Sec. 21(a)(2), to conduct strategy sessions in preparation for negotiations with nonunion personnel"" [GM contract; reconvened and voted salaries]"
2018-06-28,"""under M.G.L. c. 164, Sec. 47D, for protecting trade secrets, confidential, competitively sensitive or other proprietary information"""
2018-08-28,"""under M.G.L. c. 164, Sec. 47D, for protecting trade secrets, confidential, competitively sensitive or other proprietary information"""
2018-10-30,"""under M.G.L. c. 164, Sec. 47D, to discuss strategy with respect to collective bargaining or litigation"""
2019-03-27,"""To discuss strategy with respect to litigation if an Open Meeting may have detrimental effect on the litigating position of the public body"""
2019-05-29,"""to discuss confidential or proprietary information regarding activities by a governmental body as energy supplier"""
2019-11-25,"""to discuss trade secrets or confidential or proprietary information regarding activities by a governmental body as energy suppliers, municipal aggregator, or energy cooperative"""
2019-12-18,"""to discuss trade secrets or confidential or proprietary information regarding activities by a governmental body as energy suppliers, municipal aggregator, or energy cooperative"""
2020-01-29,"""to discuss trade secrets or confidential or proprietary information regarding activities by a governmental body as energy suppliers, municipal aggregator, or energy cooperative"""
2020-03-05,"""to discuss trade secrets or confidential or proprietary information regarding activities by a governmental body as energy suppliers, municipal aggregator, or energy cooperative"""
2020-06-30,"""to meet with a mediator regarding any litigation or decision"""
2020-08-25,"""to discuss trade secrets or proprietary information regarding activities by a governmental body as energy supplier, municipal aggregator or energy cooperative"""
2020-09-29,"""to discuss considering the purchase, exchange, lease or value of real estate"""
2020-10-27,[No purpose recorded; executive session commenced with no stated purpose or roll call]
2020-11-17,"""to discuss trade secrets or confidential or proprietary information regarding activities by a governmental body as energy supplier, municipal aggregator or energy cooperative"""
2021-02-11,"""to discuss strategy with regard to collective bargaining with local 81214 0f the C.W.A."""
2021-03-30,"""to conduct contract negotiations with nonunion personnel"""
2021-05-27,"""to conduct contract negotiations with nonunion personnel"""
2021-07-06,"""to discuss trade secrets or confidential, competitively-sensitive or other proprietary information provided in the course of activities conducted by a governmental body as an energy supplier"""
2021-08-31,"""to discuss trade secrets or confidential, competitively-sensitive or other proprietary information provided in the course of activities conducted by a governmental body as an energy supplier"""
2022-01-04,"""trade secrets or confidential, competitively-sensitive or other proprietary information... as an energy supplier""; not to return"
2022-02-01,"""trade secrets or confidential, competitively-sensitive or other proprietary information... as an energy supplier""; not to return"
2022-03-29,"""trade secrets or confidential, competitively sensitive or other proprietary information... as an energy supplier""; not to return"
2022-04-26,"trade secrets; also ""contract negotiations with non-union personnel, GM Joseph Kowalik""; not to return"
2022-05-17,trade secrets as energy supplier; returned to open session
2022-06-07,"""to conduct contract negotiations with nonunion personnel""; not to return"
2022-08-30,"""confidential, competitively-sensitive information provided by MMWEC... regarding project 2021A""; not to return"
2022-12-19,"""contract negotiations with non-union personnel, General Manager Joe Kowalik""; not to return"
2023-01-10,trade secrets as energy supplier; also GM Kowalik contract negotiations; not to return
2023-03-07,trade secrets as energy supplier; also non-union personnel strategy; returned to open session
2023-03-28,"""strategy sessions in preparation for negotiations with non-union personnel General Manager Joe Kowalik""; returned to open session"
2023-04-10,"""strategy sessions... non-union personnel General Manager Joe Kowalik""; returned to open session"
2023-07-26,trade secrets as energy supplier (Solar on Schools incl. confidential MMWEC pricing); not to return
2023-09-05,trade secrets or confidential or proprietary information as energy supplier; not to return
2023-10-24,trade secrets as energy supplier (off-shore wind); not to return
2024-01-30,"""trade secrets or confidential or proprietary information ... as energy supplier"" and ""contract negotiations with General Manager Joe Kowalik"""
2024-03-26,"""trade secrets or confidential or proprietary information ... as energy supplier"" (MMWEC offshore wind / Avangrid MOU)"
2024-04-30,"""strategy sessions in preparation for negotiations with nonunion personnel"""
2024-09-10,"""trade secrets or confidential, competitively-sensitive or other proprietary information"""
2024-10-01,"""trade secrets ... and ... negotiations with nonunion personnel"""
2024-10-29,"""confidential, competitively-sensitive or other proprietary information ... and ... purchase, exchange, lease or value of real property"""
2024-11-21,"""negotiations with nonunion personnel"" (Chair Wolf recused)"
2024-11-26,"""confidential, competitively-sensitive or other proprietary information ... and ... real property"""
2024-12-10,"""negotiations with nonunion personnel"" (Wolf recused)"
2024-12-17,"""strategy sessions in preparation for negotiations with nonunion personnel"" (Wolf recused)"
2025-01-07,"""negotiations with nonunion personnel"" (Wolf recused)"
2025-01-15,"""negotiations with nonunion personnel"" (Wolf recused)"
2025-01-21,"""negotiations with nonunion personnel"" (Wolf recused)"
2025-03-04,"Two sessions: proprietary information (MMWEC); and ""negotiations with nonunion personnel"" (Wolf recused)"
2025-03-12,"""negotiations with nonunion personnel"" (Wolf recused)"
2025-03-25,"""negotiations with nonunion personnel"" (Wolf recused; KP Law attorney joined)"
2025-04-15,"""negotiations with nonunion personnel"""
2025-06-03,"""to consider or interview applicants for employment or appointment by the Screening Committee"" (GM search; 95 resumes)"
2025-06-06,"""to consider or interview applicants"" (three GM candidate interviews)"
2025-06-13,"""to consider or interview applicants"" (finalists Jon Blair, Nathan Mitchell, Mary Usovicz)"
2025-07-22,"""strategy session in preparation for negotiations with non-union personnel"""
2025-07-28,"""strategy session ... non-union personnel and ... Power Portfolio ... confidential, competitively sensitive"""
2025-09-18,"""negotiations with nonunion personnel"""
2025-09-22,"""negotiations with nonunion personnel"""
2025-09-24,"""negotiations with nonunion personnel"" (Kowalik termination and Blair start announced on return)"
2025-10-28,"""strategy with respect to litigation if an open meeting may have a detrimental effect on the litigating position of the public body"""
2025-11-24,"""strategy with respect to litigation"" (Exemption 3)"
2026-03-09,"""to discuss strategy with respect to pending litigation brought by Joseph T. Kowalik, Jr. against the Marblehead Municipal Light Department in Essex Superior Court"" (VOTE 2026-4, roll call 5-0, not to return to open session; ran 1:05 pm to 2:12 pm)"
2026-03-31,"""to conduct strategy with non-union personnel"" (roll call 5-0, not to return to open session; GM goals also discussed there; ran 5:27 pm to 6:26 pm)"
