date,item,counterparty,amount,vote
2015-01-29,Pay adjustment for Assistant General Manager position (Vote #2015-3),-,$80.00 per week,Unanimous
2015-02-26,"Requalify audio/sound levels at Wilkins (reported, no vote recorded)",Tighe & Bond,"$12,000.00",NotRecorded
2015-02-26,"Three year contract with new auditing firm (reported, no board vote in minutes)","Goulet, Salvidio & Associates, P.C.","$19,000.00 per year",NotRecorded
2015-03-25,"Distribute Year End 2014 Available Cash: $330,000 to Town; $5,300 Salem in-lieu; $277,800 to Depreciation Cash (Vote #2015-11)",Town of Marblehead / City of Salem,"$613,100.00 total",Unanimous
2015-06-30,"Approve contract with Winter Street Architects for building renovations, subject to conditions (Vote #2015-26)",Winter Street Architects,[no amount printed],Unanimous
2015-07-14,Affirm contract with Winter Street Architects with addendum by labor counsel (Vote #2015-32),Winter Street Architects,[no amount printed],Unanimous
2015-08-27,Charge off accounts receivable per U.S. Bankruptcy order 6/24/15 (Vote #2015-41),customer account #24-45116,"$1,134.67",Unanimous
2015-08-28,"Approve purchase of a new Delta Truck (Vote #2015-38) [file contains minutes headed July 28, 2015]",Kiley Company,"$210,000",Unanimous
2015-09-15,"Structural engineering design of new roof over Commercial Street Generator (reported, no vote)",Alan Dennis's Structural Engineering Company,"$7,700.00",NotRecorded
2015-09-15,"Survey building for hazardous materials inside and outside (reported, no vote)",Geotechnical,"$9,000.00 and $8,700.00 respectively",NotRecorded
2015-11-02,Reserve funding with MMWEC for the Building Renovations Project (Vote #2015-50),MMWEC,6 million,Unanimous
2015-11-24,"Approve management salaries as of Nov 1 2015: GM $123,000.00; Finance Mgr $106,778.36; Finance Asst $86,100.04; Business Asst $70,000.32 (Vote #2015-55)",-,"$123,000.00 / $106,778.36 / $86,100.04 / $70,000.32",Unanimous
2015-12-22,Charge off department's 2015 schedule of bad debts (Vote #2015-58),-,"$38,664.65",NotRecorded
2015-12-22,"Engineer position to 2nd Class Lineman Colin Coleman, annual salary effective Jan 4 2016 (reported, no vote)",Colin Coleman,"$83,600.00",NotRecorded
