date,what_changed,from,to,effective
2015-01-29,Purchased Power Adjustment increased for all customers (announced; no board vote recorded),[prior level not stated],.16 cents per Kwh,January 2015
2016-01-26,"Purchased Power Adjustment reported lower; ""remains at .14 cents per Kwh"" [no vote for .16-to-.14 change appears in this set]",.16 cents per Kwh,.14 cents per Kwh,January 2016
2016-07-26,New assessment for customers with a meter requiring manual reading (Vote #2016-37),-,$15.00 per month,"September 1, 2016"
2016-09-27,Tenant deposit policy: $200 deposit credited after 24 consecutive on-time payments instead of held to move-out (Vote #2016-49),deposit held until move-out,credit after 24 on-time payments,-
2017-01-31,"Purchased Power Adjustment set for January 2017, all customers",[prior level not stated],.16 cents per Kwh,January 2017
2018-01-30,"Purchased Power Adjustment for January 2018, all customers",.16 cents per Kwh,.20 cents per Kwh,January 2018
2018-03-27,"Purchased Power Adjustment increased [minutes say ""March 2017"", apparent typo for March 2018]",.20 cents per Kwh,.27 cents per Kwh,March 2018
2019-10-30,"Vote #2019-25 directing GM to draft a 100% Renewable Energy Opt-in Program (avg residential ~$32/month), subject to DPU approval",no opt-in program,drafted program (not yet a rate),-
2020-03-05,Purchased Power Adjustment for all customers [printed .27 possibly garbled for 2.7],.27 cents per Kwh,3.1 cents per Kwh,March 2020
2021-11-02,Vote #2021-34 to create a carbon-free tiered billing system with intent to add 100% renewable opt-in (Unanimous),-,carbon-free tiered billing system,-
2021-11-30,"""Marblehead Green Choice"" opt-in charge proposed by GM; tabled until rate study completed",-,"tabled, no change",-
2022-02-01,"New ""Marblehead Green Choice"" opt-in 100% carbon-free residential rate adopted (Unanimous)",no such rate,$0.022 per kWh (avg $14.56/mo at 662 kWh),"retroactive opt-in to February 1, 2022"
2022-07-12,"PPA increase announced by GM, no Commission vote required",$0.041/kWh,$0.056/kWh (1.5 cent increase),"August 1, 2022"
2022-07-12,Vote #2022-24: two-year base-rate restructure approved (later superseded),residential base $4.25,$11.36 (late 2022) then $18.47 (late 2023); PPA reset to $0.00,"November 1, 2022 planned (superseded by Votes #2022-32/36)"
2022-09-08,Vote #2022-32: new rates for all six rate classes as presented 8/30 by UFS,residential base $4.25,$11.25 (2023) then $18.50 (2024); PPA reset target $0.01,January 2023
2022-09-27,PPA increase to close projected $778K year-end gap,$0.056/kWh,increase of [$0.037 / $0.0337 / $0.034 printed inconsistently]; Oct PPA shown as $0.090,October 2022 bills
2022-10-25,Further PPA increase planned to cover new $573K shortfall,$0.090/kWh,+$0.036 planned [never implemented: Nov 29 minutes held PPA at 9c using $450K from Rate Stabilization Fund],"planned November 2022, cancelled"
2022-11-29,Vote #2022-36: restructured 2023 rates approved (Photovoltaic rate kept unchanged),"residential: base $4.25, energy $0.1425, PPA $0.090","base $11.25, energy $0.1969, PPA $0.025","January 1, 2023"
2023-01-31,Vote #2023-06: discontinue dedicated-meter residential EV charger rate (one enrollee),$0.10/kWh EV rate,"rate retired, DPU notified",-
2023-01-31,Vote #2023-07: allow combining two meters at residential rates on one bill,second meter at small commercial base rate,residential base rate,-
2023-03-28,Vote #2023-14: Go Green Now expanded to Small and Large Commercial classes,residential-only,all rate classes,-
2023-06-27,"PPA reduced (mild weather, lower energy costs; GM action)",2.5 cents/kwh,0.5 cents/kwh,June 2023 billing
2023-09-05,Vote #2023-38: Go Green Now! opt-in rate reduced,2.2 cents/kWh,2.0 cents/kWh,"October 1, 2023"
2023-11-21,Vote #2023-45: ratify phase 2 of rate restructure,"residential base $11.25, energy $0.1969","base $18.50, energy $0.1895, PPA set at 0",January 2024
2024-01-30,"Common-area meter, owner-occupied 2-3 unit residences and condos (Situations 4-5)",Small Commercial/Residential base,Reduced Residential base $5.00/month,January 2024
2024-01-30,New Historic Marine Use Structure rate class (shanty under 400 sq ft),-,"base $5.00/month, Residential energy rate",January 2024
2024-01-30,Residential second-meter base rate (Vote #2024-02; Smith and Yarmoff recused),$18.50/month,$5.00/month for the second meter,January 2024
2024-01-30,Small Commercial meter on residential property converted (Situations 2-3),$32.25/month Small Commercial base,"Reduced Residential base $5.00/month, Residential kWh rate",January 2024
2024-06-25,"Solar feed-in tariffs discussed, NOT changed: Residential 9.9c/kWh; Commercial 3.3c/kWh",9.9c residential / 3.3c commercial,"unchanged, policy review requested",-
2026-03-03,"Public EV charger rate restructure PROPOSED (time-of-use pricing, overstay fees, separate municipal rate); vote deferred to March 31",$0.20 per kWh All Hours; $5.00 per Hour After 6 Hours,"Public: $0.25 per kWh (Off-Peak), $0.50 per kWh (4 - 9 PM Weekdays), Overstay Fees $5 per Hour After 5 Hours; Municipal: $0.10 per kWh (Off-Peak), $0.50 per kWh (4 - 9 PM Weekdays), No Overstay Fees",-
2026-03-31,"Go Green Now rate rider reset (VOTE 2026-8, Unanimous)",$0.022/kWh,$0.01/kWh,-
2026-03-31,"Public EV charger rates/fees ADOPTED (VOTE 2026-7, Unanimous)",$0.20 per kWh All Hours; $5.00 per Hour After 6 Hours,"Public: $0.25 per kWh (Off-Peak), $0.50 per kWh (4 - 9 PM), Overstay Fees $5 per Hour After 5 Hours, No Overstay Fees 11 PM - 7 AM; Municipal: $0.10 per kWh (Off-Peak), $0.50 per kWh (4 - 9 PM), No Overstay Fees",-
