FY,bucket,amount,source_packet_slug,source_lines,extraction_confidence
2026,Regular instruction,32074012,agenda-and-materials-2-5-2026-fy27-budget-packet,"513,610,712,830,960",high
2026,Special education,6604709,agenda-and-materials-2-5-2026-fy27-budget-packet,"1000,1178,1256",high
2026,Student services,2834375,agenda-and-materials-2-5-2026-fy27-budget-packet,"529,627,728,836,987,1038,1201",high
2026,Operations,5342717,agenda-and-materials-2-5-2026-fy27-budget-packet,"536,633,734,842,996,1235",high
2026,Administration,1704489,agenda-and-materials-2-5-2026-fy27-budget-packet,"1098",high
2026,Capital,50900,agenda-and-materials-2-5-2026-fy27-budget-packet,"1248",high
2027,Regular instruction,33303548,agenda-and-materials-2-5-2026-fy27-budget-packet,"513,610,712,830,960",high
2027,Special education,6361889,agenda-and-materials-2-5-2026-fy27-budget-packet,"1000,1178,1256",high
2027,Student services,2979030,agenda-and-materials-2-5-2026-fy27-budget-packet,"529,627,728,836,987,1038,1201",high
2027,Operations,5571271,agenda-and-materials-2-5-2026-fy27-budget-packet,"536,633,734,842,996,1235",high
2027,Administration,1748279,agenda-and-materials-2-5-2026-fy27-budget-packet,"1098",high
2027,Capital,51918,agenda-and-materials-2-5-2026-fy27-budget-packet,"1248",high
