org1,org2,org3,org4,org5,org6,branch,fiscal_year,depth,amount_usd,prior_secondary_usd,prior_tertiary_usd,snapshot_date,source_url
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,PROPERTY TAX,REAL ESTATE TAXES - 2026,REAL ESTATE TAXES - 2026,revenue,FY2026,6,83925154.0,62275546.5,83925154.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,STATE REV-CHERRY,CSI SCHOOL AID - CHAP 70,CSI SCHOOL AID - CHAP 70,revenue,FY2026,6,6814879.0,4670840.0,6814879.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,WATER ENTERPRISE OPERATING,WATER,CHRG SVC WATER,WATER USAGE CHARGES,WATER UTILITY USAGE CHARGES,revenue,FY2026,6,6463957.0,5688304.17,6463957.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,SEWER ENTERPRISE OPERATING,SEWER,CHRG SVC SEWER,SEWER USAGE CHARGES,SEWER UTILITY USAGE CHARGES,revenue,FY2026,6,5532269.0,5232147.4,5532269.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,MOTOR VEHICLE EXCISE,MOTOR VEHICLE EXCISE - 2026,MOTOR VEHICLE EXCISE - 2026,revenue,FY2026,6,3500000.0,6396.46,3500000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,INVESTMENT INCOME,INVESTMENT INCOME,INVESTMENT INCOME,revenue,FY2026,6,1687468.0,565794.28,1687468.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,STATE REV-CHERRY,CSI UNRESTRICTED GENERAL GOVT,CSI UNRESTRICTED GENERAL GOVT,revenue,FY2026,6,1433009.0,945056.0,1433009.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,BUILDING INSPECTION,LICENSES AND PERMITS,BUILDING PERMIT,BI-BUILDING PERMIT,revenue,FY2026,6,1000000.0,622375.0,1000000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,MWRA PROJECT LWSAP26-3021,WATER,OTHER AVAIL FUNDS,PRINCIPAL FROM SALE OF BONDS,PRINCIPAL FROM SALE OF BONDS,revenue,FY2026,6,1000000.0,0,1000000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,PROPERTY TAX,PERSONAL PROPERTY TAXES - 2026,PERSONAL PROP TAXES - 2026,revenue,FY2026,6,857000.0,813910.34,857000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
