org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
DEBT SERVICE,DEBT SERVICE,EXPENSES,OTHER EXPENSE,DEBT SERVICE,DEBT SERVICE,FY2026,6,14238517.58,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,GROUP INSURANCE,OTHER EXPENSE,OTHER,OTHER,FY2026,6,13734760.79,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
UNDEFINED,UNASSIGNED,UNDEFINED,UNKNOWN,UNDEFINED,UNDEFINED,FY2026,6,12896257.04,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,EXPENSES,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,8268298.86,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,DISTRICTWIDE,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,6524341.59,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,CONTRIBUTORY RETIREMENT,OTHER EXPENSE,OTHER,OTHER,FY2026,6,5380625.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,SOUTH ESSEX SEWER DISTRICT,GOVERNMENTAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,3267244.87,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,MASS WATER RESOURCES AUTHORITY,GOVERNMENTAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,3195219.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,CAPITAL,EDUCATION,EDUCATION,FY2026,6,2181515.83,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,UNDEFINED,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1917491.21,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,1822529.87,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,EXPENSES,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1803767.7,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1490494.51,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,UNDEFINED,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1327441.22,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,DISTRICTWIDE,UNDEFINED,SUPPLIES AND MATL,EDUCATION,EDUCATION,FY2026,6,1196942.98,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,UNDEFINED,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,1074262.1,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,UNASSIGNED,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,1019644.76,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,UNDEFINED,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,973466.12,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,OTHER INSURANCE,OTHER EXPENSE,OTHER,OTHER,FY2026,6,932233.48,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,FINANCE,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,882473.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,ATM25A11A-WATER CONSTRCUTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,836850.18,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,UNDEFINED,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,691850.92,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,SALARIES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,642247.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,ART 26 2022 ESSEX NS AGGIE & T,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,627323.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
