category,description,tier_1_9m,tier_2_12m,tier_3_15m
Public Safety,Restore Police Department School Resource Officer Cut,65482,65482,65482
Public Safety,Increase Police Department Staffing,0,65482,130964
Public Safety,Restore Police Department Equipment Cut,2000,2000,2000
Public Safety,Increase Fire Department Staffing,0,148000,444000
Public Safety,Restore Inspections Other Technical Subscriptions & Maintenance Cuts,52500,52500,52500
Public Works,Restore Department of Public Works Staffing Cuts,140594,140594,140594
Public Works,Restore Department of Public Works Hot Top Cuts,60000,60000,60000
Public Works,Increase Department of Public Works Staffing GIS position,0,70000,70000
Public Works,Restore Cemetery Laborer Cut,58692,58692,58692
Recreation Library Parks,Restore Abbot Library Staffing cuts for accreditation,311183,311183,311183
Recreation Library Parks,Restore Abbot Library Staffing Cuts,0,218980,218980
Recreation Library Parks,Restore Abbot Library Materials,0,168400,168400
Recreation Library Parks,Increase Abbot Library Staffing 1 PT Custodian and 1 PT Assistant,0,38378,38378
Recreation Library Parks,Restore Recreation and Parks Groundskeeper Staffing Cut,45000,45000,45000
Recreation Library Parks,Increase Recreation and Parks Staffing 1 PT Senior Clerk,0,27000,27000
Recreation Library Parks,Increase Recreation and Parks Maintenance,0,15000,15000
General Government,Restore Finance Staffing Cut,68287,68287,68287
General Government,Restore Finance Technology and Training Cut,58361,58361,58361
General Government,Restore Finance Committee Reserve Fund Cut,26000,26000,26000
General Government,Increase Finance Staffing - IT Director,0,150000,150000
General Government,Increase Finance Staffing - Budget Analyst,0,70000,70000
General Government,Restore HR Other Technical Advertising Subscriptions Cuts,11000,11000,11000
General Government,Restore Community Development and Planning Staffing Cut,137423,307975,307975
General Government,Increase Community Development Staffing - Grant Writer,0,0,70000
General Government,Restore Town Clerk Special Clerk Staffing Cut,0,66125,66125
General Government,Restore Public Buildings Custodians Staffing Cuts,122554,122554,122554
General Government,Increase Public Buildings Maintenance,0,450000,450000
Health and Human Services,Restore Council on Aging Staffing Cuts,76171,76171,76171
Health and Human Services,Increase Council on Aging Staffing - PT Social Worker,0,45000,45000
Health and Human Services,Increase Council on Aging Maintenance,0,15000,15000
Health and Human Services,Increase Health Department for Mental Health Psychological Counseling,0,0,60000
Other General Government,Restore Town Portion of OPEB Transfer,96771,96771,96771
Other General Government,Restore Stabilization Transfer,250000,250000,250000
Other General Government,Restore Workers Comp and Section 111F Transfer,97662,97662,97662
Recurring Capital,Recurring Capital funding Leases Equipment and Buildings Articles,0,0,1000000
Offset,Reduction to Unemployment with Restoration of Positions,-410116,-692361,-692361
