loc_id,map_par_id,prop_id,site_addr,city,zip,use_code,zoning,total_val,bldg_val,land_val,other_val,fy,lot_size,lot_units,year_built,style,stories,num_rooms,units,bld_area,res_area,ls_date,ls_price,ls_book,ls_page
F_821037_3002381,,14 50 0,19 RUBY AV,MARBLEHEAD,01945,101,SR,838000,243700,584700,9600,2025,0.21,Acres,1925,COLONIAL,2,7,1,1802,1802,1977-11-28,0,6420,246
F_821316_3001282,,4 16 0,12 SEAVIEW AV,MARBLEHEAD,01945,101,SR,1046700,336700,707800,2200,2025,0.27,Acres,1930,COLONIAL,2,6,1,2827,2827,2007-06-15,530000,26933,43
F_821402_3002665,,17 3 0,6 ELMWOOD RD,MARBLEHEAD,01945,101,SR,1685700,925100,759300,1300,2025,0.36,Acres,1930,COLONIAL,2,8,1,4155,4155,2020-10-16,1425000,39069,02
F_821481_3001390,,4 28 0,17 PILGRIM RD,MARBLEHEAD,01945,101,SR,1016500,296700,713600,6200,2025,0.28,Acres,1925,COLONIAL,2,9,1,2106,2106,2022-11-30,745000,41325,445
F_821731_3003508,,21 9 0,47 LONDONDERRY RD,MARBLEHEAD,01945,101,SR,821300,231800,588000,1500,2025,0.28,Acres,1934,CAPE,1,7,1,2650,2650,2014-06-26,505000,33365,372
F_821734_3001094,,5 14 0,34 SEAVIEW AV,MARBLEHEAD,01945,101,SR,1689300,866300,823000,0,2025,0.42,Acres,2011,CONTEMPORY,1,7,1,4378,4378,2015-05-12,1,34047,42
F_821793_3003513,,21 8 0,49 LONDONDERRY RD,MARBLEHEAD,01945,101,SR,740700,162900,577800,0,2025,0.26,Acres,1935,CAPE,1,6,1,1892,1892,2006-01-05,510000,25262,215
F_822303_3004297,,34 43 0,11 HILLCREST RD,MARBLEHEAD,01945,101,SR,1154000,484700,668500,800,2025,0.4,Acres,1935,OLD STYLE,2,8,1,2958,2958,2017-10-30,1,36289,188
F_822678_3004693,,39 5 0,9 MAPLE CR,MARBLEHEAD,01945,104,SR,966000,166900,798600,500,2025,0.52,Acres,1920,MULTI-GRDN,2,8,2,2424,2424,2022-06-22,1,41015,441
F_822823_3004568,,33 27 0,20 ALDEN RD,MARBLEHEAD,01945,101,SR,791400,241000,550400,0,2025,0.16,Acres,1960,SPLIT LEVL,1,6,1,2044,2044,2017-08-10,1,36091,500
F_822847_3004508,,33 26 0,18 ALDEN RD,MARBLEHEAD,01945,101,SR,786200,245100,541100,0,2025,0.15,Acres,1960,SPLIT LEVL,1,5,1,2367,2367,2002-07-29,405000,18995,427
F_822873_3004448,,33 25 0,16 ALDEN RD,MARBLEHEAD,01945,101,SR,848900,307800,541100,0,2025,0.15,Acres,1955,SPLIT LEVL,1,6,1,2110,2110,2023-05-25,1000000,41581,039
F_822962_3004827,,39 9 0,40 MAPLE ST,MARBLEHEAD,01945,101,SR,892500,427600,444100,20800,2025,0.17,Acres,1927,COLONIAL,2,9,1,3090,3090,2013-09-10,1,32809,526
F_823937_3001260,,9 30 0,2 HAMMOND PL,MARBLEHEAD,01945,101,SR,525900,80600,444500,800,2025,0.15,Acres,1935,BUNGALOW,1,5,1,984,984,2022-03-01,603000,40761,180
F_824203_3002766,,30 58 0,44 PICKWICK RD,MARBLEHEAD,01945,101,SR,900300,291800,608500,0,2025,0.23,Acres,1940,COLONIAL,2,7,1,2028,2028,2002-08-14,520000,,
F_824380_3002777,,30 47 0,47 PICKWICK RD,MARBLEHEAD,01945,101,SR,859400,230000,621400,8000,2025,0.25,Acres,1941,COLONIAL,2,7,1,1694,1694,2014-05-09,1,33265,111
F_824499_3000772,,,,MARBLEHEAD,,,,,,,,,,,,,,,,,,,,,
F_825006_3005408,,60 47 0,13 LAUREL ST,MARBLEHEAD,01945,101,SR,722900,231800,483400,7700,2025,0.24,Acres,1924,COLONIAL,2,6,1,1578,1578,1980-11-07,1,6761,33
F_825019_3005778,,72 16 0,10 DARTMOUTH RD,MARBLEHEAD,01945,101,SR,957900,300600,657300,0,2025,0.3,Acres,1950,COLONIAL,2,6,1,1942,1942,2019-10-15,679000,37933,541
F_825193_3005603,,72 43 0,21 LAFAYETTE ST,MARBLEHEAD,01945,101,SR,526100,2900,518000,5200,2025,0.3,Acres,1950,RANCH,1,4,1,1120,1120,2022-08-22,430000,41145,145
F_825397_3010724,,122 40 0,9 NEPTUNE RD,MARBLEHEAD,01945,101,SR,1581300,130500,1450800,0,2025,0.27,Acres,1935,BUNGALOW,2,5,1,960,960,2002-12-05,300000,19752,86
F_825405_3003794,,50 36 0,12 RICHARD RD,MARBLEHEAD,01945,101,SR,1782100,1145500,610000,26600,2025,0.5,Acres,1994,COLONIAL,2,9,1,6413,6413,2019-07-31,1374000,37716,379
F_825460_3010825,,122 42 0,5 NEPTUNE RD,MARBLEHEAD,01945,101,SR,2089500,552000,1522500,15000,2025,0.31,Acres,1984,CONTEMPORY,1,8,1,3262,3262,2018-09-18,1,37019,243
F_825548_3009616,,104 17 0,7 WILLOW RD,MARBLEHEAD,01945,101,SR,1283200,754100,529100,0,2025,0.17,Acres,2018,COLONIAL,2,6,1,3014,3014,2022-11-30,1300000,41328,307
F_825714_3001774,,,,MARBLEHEAD,,,,,,,,,,,,,,,,,,,,,
F_825731_3010807,,122 47 0,14 BAYVIEW RD,MARBLEHEAD,01945,101,SR,1768400,716200,1052200,0,2025,0.3,Acres,2010,COLONIAL,2,8,1,3672,3672,2019-03-29,1330000,37411,45
F_825940_3010771,,122 58 0,20 MANATAUG TRAIL,MARBLEHEAD,01945,101,SR,698600,175700,511900,11000,2025,0.14,Acres,1930,CONVENT`NL,2,6,1,2301,2301,2019-09-20,562000,37859,72
F_826535_3001967,,46 12 0,0 CLIFTON HEIGHTS LN,MARBLEHEAD,01945,132,,39800,0,39800,0,2025,0.01,Acres,,,,,,0,0,1962-10-10,0,4996,148
F_826658_3010061,,121 63 0,71 BAYVIEW RD,MARBLEHEAD,01945,101,SR,837700,263300,574400,0,2025,0.24,Acres,2005,CAPE,1,7,1,2111,2111,2004-05-26,305000,22897,243
F_826680_3011627,,140 35 0,63 OVERLOOK RD,MARBLEHEAD,01945,101,SR,578500,81500,497000,0,2025,0.12,Acres,1928,BUNGALOW,1,5,1,880,880,2020-07-27,10,38751,427
F_826683_3002146,,46 42 0,39 TICEHURST LN,MARBLEHEAD,01945,101,SR,1069600,336600,733000,0,2025,0.05,Acres,1920,OLD STYLE,2,6,1,1796,1796,2021-09-20,1050000,40296,118
F_826723_3009261,,120 27A 0,2 CLARK LN,MARBLEHEAD,01945,101,SR,841600,277000,563800,800,2025,0.31,Acres,1972,CAPE,1,7,1,2558,2558,2006-05-09,585000,25652,582
F_826946_3003144,,48 41 0,4 GREYSTONE RD,MARBLEHEAD,01945,101,SR,1164600,378200,778100,8300,2025,0.29,Acres,1940,COLONIAL,2,7,1,2694,2694,2004-06-30,875000,23072,178
F_826992_3009770,,120 15 0,213 WEST SHORE DR,MARBLEHEAD,01945,101,SR,725000,136300,588700,0,2025,0.46,Acres,1960,CAPE,1,6,1,1596,1596,2010-10-22,100,29889,593
F_827011_3010559,,124 10 0,121 JERSEY ST,MARBLEHEAD,01945,101,SR,778900,132800,645000,1100,2025,0.34,Acres,1939,CAPE,1,6,1,1496,1496,2008-06-04,439000,27828,2
F_827013_3010985,,139 5 0,35 PURITAN RD,MARBLEHEAD,01945,101,SR,602500,69700,532800,0,2025,0.17,Acres,1910,BUNGALOW,1,4,1,718,718,2004-06-01,350000,22926,247
