municipality,fiscal_year,total_revenues,total_expenditures
Arlington,2002,"86,585,804","92,840,419"
Arlington,2003,"87,279,623","89,398,316"
Arlington,2004,"89,427,656","91,531,121"
Arlington,2005,"98,803,795","104,807,684"
Arlington,2006,"98,698,485","100,988,252"
Arlington,2007,"104,996,049","99,616,821"
Arlington,2008,"118,231,520","114,780,223"
Arlington,2009,"107,338,251","105,448,206"
Arlington,2010,"111,435,033","107,932,749"
Arlington,2011,"113,976,117","105,513,432"
Arlington,2012,"128,324,844","106,687,320"
Arlington,2013,"127,950,124","115,287,323"
Arlington,2014,"133,243,091","118,271,826"
Arlington,2015,"138,455,588","124,610,582"
Arlington,2016,"143,691,411","130,722,808"
Arlington,2017,"145,312,103","136,315,868"
Arlington,2018,"152,025,755","142,082,401"
Arlington,2019,"168,888,432","152,322,443"
Arlington,2020,"175,572,808","166,771,888"
Arlington,2021,"178,708,036","170,582,905"
Arlington,2022,"192,595,986","182,167,519"
Arlington,2023,"203,016,856","191,585,207"
Arlington,2024,"215,024,051","208,917,874"
Arlington,2025,"224,209,281","214,261,644"
Brookline,2002,"148,702,881","149,258,885"
Brookline,2003,"167,385,988","176,172,910"
Brookline,2004,"157,546,177","180,164,209"
Brookline,2005,"167,934,717","168,967,274"
Brookline,2006,"168,890,619","170,248,023"
Brookline,2007,"178,383,652","178,526,146"
Brookline,2008,"185,803,513","186,716,936"
Brookline,2009,"192,482,479","190,655,927"
Brookline,2010,"195,166,931","186,354,784"
Brookline,2011,"197,401,346","187,248,205"
Brookline,2012,"212,032,653","212,923,646"
Brookline,2013,"225,013,338","211,111,637"
Brookline,2014,"223,722,368","213,383,728"
Brookline,2015,"231,276,828","221,588,977"
Brookline,2016,"249,427,185","233,880,347"
Brookline,2017,"259,094,788","245,480,837"
Brookline,2018,"269,899,635","257,211,170"
Brookline,2019,"285,287,238","270,294,659"
Brookline,2020,"297,528,480","284,450,665"
Brookline,2021,"310,021,983","297,759,258"
Brookline,2022,"339,419,364","315,366,130"
Brookline,2023,"350,331,838","325,266,407"
Brookline,2024,"367,822,295","343,426,310"
Brookline,2025,"395,128,101","364,736,971"
Cohasset,2002,"24,050,643","23,510,468"
Cohasset,2003,"27,995,354","25,912,778"
Cohasset,2004,"26,007,579","26,854,883"
Cohasset,2005,"27,862,213","28,562,940"
Cohasset,2006,"29,610,414","29,542,230"
Cohasset,2007,"30,845,635","30,756,129"
Cohasset,2008,"32,043,091","32,382,285"
Cohasset,2009,"32,226,427","32,582,193"
Cohasset,2010,"32,995,339","32,740,251"
Cohasset,2011,"33,744,392","33,790,747"
Cohasset,2012,"37,604,681","35,610,682"
Cohasset,2013,"38,564,745","36,494,691"
Cohasset,2014,"40,010,691","37,509,106"
Cohasset,2015,"41,772,123","39,194,720"
Cohasset,2016,"43,635,883","40,385,191"
Cohasset,2017,"44,931,991","42,198,367"
Cohasset,2018,"45,785,547","43,083,122"
Cohasset,2019,"47,324,376","44,992,936"
Cohasset,2020,"48,924,115","44,865,310"
Cohasset,2021,"50,284,523","47,270,847"
Cohasset,2022,"52,771,793","48,972,461"
Cohasset,2023,"55,008,360","53,771,089"
Cohasset,2024,"57,858,046","52,976,960"
Cohasset,2025,"59,870,222","55,446,590"
Duxbury,2002,"40,051,454","41,601,292"
Duxbury,2003,"42,619,205","44,399,643"
Duxbury,2004,"43,870,469","46,218,931"
Duxbury,2005,"46,302,732","47,356,218"
Duxbury,2006,"47,829,066","51,722,404"
Duxbury,2007,"50,916,675","53,072,746"
Duxbury,2008,"53,441,279","59,053,807"
Duxbury,2009,"55,499,968","55,793,918"
Duxbury,2010,"55,241,142","56,178,910"
Duxbury,2011,"55,659,383","59,129,252"
Duxbury,2012,"57,946,152","57,344,427"
Duxbury,2013,"65,602,020","58,817,965"
Duxbury,2014,"67,488,681","67,882,856"
Duxbury,2015,"69,134,856","69,855,262"
Duxbury,2016,"71,656,473","73,301,182"
Duxbury,2017,"74,270,660","76,806,529"
Duxbury,2018,"77,566,209","77,106,573"
Duxbury,2019,"81,108,137","78,674,066"
Duxbury,2020,"81,430,476","79,733,428"
Duxbury,2021,"84,589,605","80,440,187"
Duxbury,2022,"85,678,780","82,878,456"
Duxbury,2023,"88,432,903","87,936,747"
Duxbury,2024,"91,114,210","93,229,364"
Duxbury,2025,"96,948,964","95,777,612"
Easton,2002,"41,386,949","40,983,588"
Easton,2003,"42,313,398","42,582,482"
Easton,2004,"45,481,856","43,499,813"
Easton,2005,"46,363,897","46,081,323"
Easton,2006,"50,011,613","48,421,218"
Easton,2007,"54,757,425","52,706,529"
Easton,2008,"57,740,213","58,532,970"
Easton,2009,"59,023,818","59,081,021"
Easton,2010,"60,703,574","59,447,379"
Easton,2011,"62,869,176","62,628,685"
Easton,2012,"63,965,250","62,586,482"
Easton,2013,"65,203,255","65,001,522"
Easton,2014,"67,678,935","68,058,525"
Easton,2015,"71,655,885","71,008,053"
Easton,2016,"73,568,732","71,977,953"
Easton,2017,"75,500,518","74,243,652"
Easton,2018,"77,571,920","76,915,066"
Easton,2019,"78,078,169","78,106,810"
Easton,2020,"80,436,051","79,557,088"
Easton,2021,"84,077,634","79,955,859"
Easton,2022,"87,732,686","85,349,760"
Easton,2023,"92,486,638","91,458,791"
Easton,2024,"96,039,085","96,130,612"
Easton,2025,"100,149,185","99,405,120"
Framingham,2002,"148,212,786","148,050,279"
Framingham,2003,"159,223,185","155,648,707"
Framingham,2004,"159,475,690","159,996,146"
Framingham,2005,"166,391,331","191,065,138"
Framingham,2006,"173,274,041","175,442,525"
Framingham,2007,"180,220,302","182,877,260"
Framingham,2008,"191,548,515","193,677,559"
Framingham,2009,"198,280,774","199,474,766"
Framingham,2010,"202,784,702","202,002,133"
Framingham,2011,"209,051,981","208,566,952"
Framingham,2012,"218,336,374","211,691,951"
Framingham,2013,"228,970,488","220,717,716"
Framingham,2014,"242,124,959","230,636,332"
Framingham,2015,"250,018,497","239,654,159"
Framingham,2016,"264,301,053","254,886,689"
Framingham,2017,"270,716,957","258,026,632"
Framingham,2018,"271,612,808","270,219,556"
Framingham,2019,"285,424,747","278,837,564"
Framingham,2020,"286,137,676","287,591,997"
Framingham,2021,"289,783,026","293,396,803"
Framingham,2022,"305,539,199","305,260,879"
Framingham,2023,"322,318,736","317,305,562"
Framingham,2024,"347,006,651","337,028,721"
Framingham,2025,"357,324,941","351,557,324"
Hingham,2002,"54,696,380","50,865,042"
Hingham,2003,"54,242,232","54,309,043"
Hingham,2004,"57,162,319","55,271,225"
Hingham,2005,"60,632,806","59,118,265"
Hingham,2006,"68,998,088","62,145,323"
Hingham,2007,"70,122,320","65,728,335"
Hingham,2008,"72,285,817","69,232,917"
Hingham,2009,"71,437,564","71,944,275"
Hingham,2010,"78,181,967","74,373,434"
Hingham,2011,"78,628,509","76,805,352"
Hingham,2012,"84,187,926","78,703,298"
Hingham,2013,"85,835,680","81,994,732"
Hingham,2014,"89,189,046","84,700,177"
Hingham,2015,"97,527,227","92,035,353"
Hingham,2016,"99,243,430","96,036,682"
Hingham,2017,"101,486,298","99,541,631"
Hingham,2018,"105,252,960","100,680,655"
Hingham,2019,"107,348,471","103,862,445"
Hingham,2020,"108,747,236","105,313,158"
Hingham,2021,"114,794,765","108,389,715"
Hingham,2022,"117,203,160","113,535,634"
Hingham,2023,"123,242,466","119,124,246"
Hingham,2024,"138,642,571","126,771,556"
Hingham,2025,"144,653,389","139,570,161"
Lexington,2002,"92,749,922","104,230,382"
Lexington,2003,"96,115,492","113,668,514"
Lexington,2004,"99,491,411","112,818,927"
Lexington,2005,"110,144,605","122,547,829"
Lexington,2006,"117,182,016","131,265,896"
Lexington,2007,"124,113,726","117,432,749"
Lexington,2008,"133,085,755","124,934,111"
Lexington,2009,"138,928,508","132,325,891"
Lexington,2010,"143,886,694","134,558,497"
Lexington,2011,"150,690,850","141,249,326"
Lexington,2012,"155,971,934","143,918,527"
Lexington,2013,"164,862,261","153,231,507"
Lexington,2014,"175,312,663","160,318,311"
Lexington,2015,"184,492,801","169,725,621"
Lexington,2016,"193,903,336","176,923,325"
Lexington,2017,"202,260,090","187,011,489"
Lexington,2018,"217,585,459","200,344,715"
Lexington,2019,"226,097,740","214,044,978"
Lexington,2020,"237,404,327","222,699,222"
Lexington,2021,"247,256,012","207,732,961"
Lexington,2022,"261,434,690","219,629,473"
Lexington,2023,"275,550,318","247,552,273"
Lexington,2024,"292,486,320","264,827,741"
Lexington,2025,"305,292,240","279,365,730"
Marblehead,2002,"46,139,656","51,690,836"
Marblehead,2003,"44,745,903","52,391,551"
Marblehead,2004,"47,060,187","56,450,469"
Marblehead,2005,"50,428,327","59,110,677"
Marblehead,2006,"56,277,184","63,870,239"
Marblehead,2007,"57,609,442","59,998,246"
Marblehead,2008,"59,502,720","59,723,307"
Marblehead,2009,"60,303,763","60,419,506"
Marblehead,2010,"62,440,950","61,871,907"
Marblehead,2011,"63,665,355","63,611,714"
Marblehead,2012,"65,991,080","64,537,103"
Marblehead,2013,"66,928,866","65,553,999"
Marblehead,2014,"70,301,137","67,533,199"
Marblehead,2015,"72,583,591","70,285,856"
Marblehead,2016,"75,243,259","72,761,908"
Marblehead,2017,"78,367,541","76,484,071"
Marblehead,2018,"80,842,155","80,650,984"
Marblehead,2019,"83,583,113","83,647,014"
Marblehead,2020,"85,840,204","84,737,886"
Marblehead,2021,"86,690,008","86,269,047"
Marblehead,2022,"96,870,396","96,488,273"
Marblehead,2023,"96,339,847","96,579,439"
Marblehead,2024,"99,762,580","100,501,118"
Marblehead,2025,0,0
Melrose,2002,"50,250,701","50,660,492"
Melrose,2003,"51,536,088","52,552,403"
Melrose,2004,"51,804,567","51,409,132"
Melrose,2005,"53,810,204","53,901,014"
Melrose,2006,"55,872,278","54,579,775"
Melrose,2007,"60,206,225","61,246,388"
Melrose,2008,"65,782,362","68,660,576"
Melrose,2009,"68,562,553","70,925,247"
Melrose,2010,"68,064,876","65,880,013"
Melrose,2011,"69,295,278","68,195,217"
Melrose,2012,"77,229,525","76,236,007"
Melrose,2013,"73,989,347","71,958,635"
Melrose,2014,"76,827,108","74,620,670"
Melrose,2015,"78,522,765","77,950,896"
Melrose,2016,"81,897,556","78,586,576"
Melrose,2017,"84,272,617","82,978,180"
Melrose,2018,"86,579,980","84,528,782"
Melrose,2019,"90,316,999","86,929,364"
Melrose,2020,"104,583,697","99,788,218"
Melrose,2021,"99,678,463","95,197,430"
Melrose,2022,"103,933,205","98,794,449"
Melrose,2023,"101,424,177","104,513,809"
Melrose,2024,"107,764,305","111,356,400"
Melrose,2025,"116,833,700","115,669,962"
Natick,2002,"87,370,365","82,905,827"
Natick,2003,"85,587,953","81,611,284"
Natick,2004,"83,872,483","80,767,638"
Natick,2005,"86,819,262","85,649,963"
Natick,2006,"92,196,067","90,943,398"
Natick,2007,"91,607,004","90,481,268"
Natick,2008,"93,596,802","100,614,053"
Natick,2009,"98,628,984","97,976,552"
Natick,2010,"100,986,709","100,269,889"
Natick,2011,"108,803,122","103,346,509"
Natick,2012,"116,151,733","108,794,351"
Natick,2013,"118,477,245","113,746,055"
Natick,2014,"125,816,446","119,454,674"
Natick,2015,"131,628,196","124,222,531"
Natick,2016,"132,346,570","125,986,233"
Natick,2017,"138,280,021","131,971,767"
Natick,2018,"142,130,824","140,648,893"
Natick,2019,"150,474,012","145,388,452"
Natick,2020,"156,666,908","154,570,500"
Natick,2021,"160,383,112","157,667,368"
Natick,2022,"173,845,396","165,972,327"
Natick,2023,"182,093,661","174,709,588"
Natick,2024,"187,161,153","185,379,533"
Natick,2025,"199,538,138","191,762,138"
Needham,2002,"71,461,613","68,244,917"
Needham,2003,"73,451,109","70,862,344"
Needham,2004,"77,985,378","77,185,246"
Needham,2005,"82,336,444","78,577,838"
Needham,2006,"87,358,086","85,698,040"
Needham,2007,"108,394,099","88,076,738"
Needham,2008,"98,322,348","92,887,449"
