dor_code,municipality,fiscal_year,taxes,service_charges,licenses_permits,federal_revenue,state_revenue,other_govt_revenue,special_assessments,fines,miscellaneous,other_financing,transfers,total_revenues
010,Arlington,2025,"173,783,072","704,967","4,952,608","112,111","29,119,855","15,136","32,054","19,015","4,111,604",0,"11,358,859","224,209,281"
046,Brookline,2025,"333,649,134","13,733,309","6,954,942",0,"24,919,350",0,0,"2,566,204","6,850,350","3,000,000","3,454,812","395,128,101"
065,Cohasset,2025,"51,763,298","1,656,717","586,511","32,027","3,847,331",672,"25,558","88,134","721,940",0,"1,148,034","59,870,222"
082,Duxbury,2025,"78,441,463","3,396,111","2,950,159","12,064","8,754,989",793,0,"56,181","1,962,227",0,"1,374,977","96,948,964"
100,Framingham,2025,"240,173,057","2,439,648","5,139,252","1,279,434","100,643,479","15,028",0,"583,991","2,890,751",0,"4,160,301","357,324,941"
131,Hingham,2025,"121,957,743","2,601,132","1,675,883",0,"11,635,088","38,687","71,629","19,990","4,431,770",0,"2,221,467","144,653,389"
155,Lexington,2025,"264,364,265","4,126,638","4,616,400","473,714","20,513,113",285,"25,449","111,599","6,987,134",0,"4,073,643","305,292,240"
168,Marblehead,2025,0,0,0,0,0,0,0,0,0,0,0,0
178,Melrose,2025,"84,344,963","313,489","2,757,090",0,"20,617,798",0,"4,439","99,292","972,605","3,580,000","4,144,024","116,833,700"
198,Natick,2025,"156,935,806","4,287,060","6,359,400",0,"19,093,983","38,033",0,"215,424","2,981,457","2,090,903","7,536,072","199,538,138"
199,Needham,2025,"202,151,870","5,416,091","2,830,836","42,520","16,262,840","1,375",0,"80,710","3,936,779",0,"4,021,319","234,744,340"
284,Stoneham,2025,"72,379,869","2,016,270","1,116,526",0,"13,655,723","27,462",0,"30,687","2,590,792",0,"2,386,182","94,203,511"
291,Swampscott,2025,"61,979,115","599,990","716,694",0,"7,154,621","34,560",0,"45,724","2,170,570",0,"1,006,200","73,707,474"
317,Wellesley,2025,"187,068,550","1,205,486","2,767,805",0,"12,058,401",0,0,"332,363","7,626,919",0,"2,066,305","213,125,829"
344,Winchester,2025,"131,525,877","4,199,115","2,013,368",0,"12,677,768",0,0,"76,515","2,025,561",0,"9,780,611","162,298,815"
010,Arlington,2024,"161,498,247","648,851","5,042,665",0,"28,299,779",0,"33,304","28,618","3,760,475","4,607,401","11,104,711","215,024,051"
046,Brookline,2024,"311,849,841","11,553,034","7,255,042",0,"23,867,073",0,0,"2,784,912","6,939,492",0,"3,572,901","367,822,295"
065,Cohasset,2024,"50,524,071","1,775,650","414,209","71,682","3,675,267",250,"26,431","13,313","679,823",0,"677,350","57,858,046"
082,Duxbury,2024,"73,264,275","3,272,434","2,489,717","23,816","8,058,276",0,0,"52,501","1,626,201",0,"2,326,990","91,114,210"
100,Framingham,2024,"231,084,919","2,442,796","4,446,547","1,129,611","99,339,362","8,885",0,"397,524","2,368,763","20,000","5,768,244","347,006,651"
131,Hingham,2024,"116,006,713","2,579,066","1,983,138",0,"10,407,004","31,050","83,475","50,465","6,649,849",0,"851,811","138,642,571"
155,Lexington,2024,"252,288,020","4,119,856","3,226,256","388,555","19,648,418","1,775","10,370","170,348","8,591,195",0,"4,041,527","292,486,320"
168,Marblehead,2024,"85,238,352","1,645,262","1,291,023","50,778","8,038,942","10,344",0,"56,835","2,537,126",0,"893,918","99,762,580"
178,Melrose,2024,"81,672,920","288,285","4,282,792",0,"19,323,050",0,"6,018","105,060","920,462",0,"1,165,718","107,764,305"
198,Natick,2024,"150,059,879","4,275,872","4,396,692",0,"18,121,743","39,846",0,"151,703","2,182,742","142,322","7,790,354","187,161,153"
199,Needham,2024,"192,793,569","5,852,622","2,866,122","16,160","15,533,330","3,490","3,599","55,413","3,322,977",0,"3,518,578","223,965,860"
284,Stoneham,2024,"70,111,056","1,870,548","2,926,714",0,"13,191,303","29,693",0,"33,645","3,019,099",0,"1,533,343","92,715,401"
291,Swampscott,2024,"59,666,614",0,"1,285,846",0,"6,981,366","20,160",0,"40,592","2,122,191","-123,909","952,882","70,945,742"
317,Wellesley,2024,"180,377,316","1,169,706","3,928,120",0,"11,500,294",0,0,"325,875","8,271,780",0,"2,001,286","207,574,377"
344,Winchester,2024,"126,815,055","4,249,404","1,849,703",0,"12,181,443",0,0,"68,147","1,853,737",0,"10,675,289","157,692,778"
010,Arlington,2023,"155,969,743","125,049","4,779,660",0,"25,096,348","12,342","14,603","255,137","3,473,364",0,"13,290,610","203,016,856"
046,Brookline,2023,"295,549,527","10,950,850","8,600,181",0,"23,530,619",0,0,"2,368,490","6,023,315",0,"3,308,856","350,331,838"
065,Cohasset,2023,"46,417,621","1,261,535","1,442,913","24,015","3,286,629",0,"19,959","58,733","385,208","950,000","1,161,747","55,008,360"
082,Duxbury,2023,"71,048,608","4,746,632","2,727,126","77,181","7,738,247",0,0,"36,303","932,009",0,"1,126,797","88,432,903"
100,Framingham,2023,"222,021,723","2,909,429","5,541,036","1,336,469","82,187,711","11,078",0,"336,542","1,876,586","314,000","5,784,162","322,318,736"
131,Hingham,2023,"101,686,332","2,484,621","1,811,041",0,"10,718,323",0,"83,475","52,210","3,318,058","900,977","2,187,429","123,242,466"
155,Lexington,2023,"238,841,615","3,683,406","5,840,007","503,905","17,065,796","9,400","13,531","110,224","5,130,563",0,"4,351,871","275,550,318"
168,Marblehead,2023,"82,785,330","1,070,934","1,272,378","78,870","8,234,916","2,915",0,"61,028","1,358,417",0,"1,475,059","96,339,847"
178,Melrose,2023,"79,350,535","334,874","3,992,091",0,"16,629,808",0,"6,057","124,972","684,157",0,"301,683","101,424,177"
198,Natick,2023,"143,104,127","3,643,949","2,994,183","264,992","16,952,706","30,323",0,"117,756","1,487,550","3,357,139","10,140,936","182,093,661"
199,Needham,2023,"188,853,245","5,571,510","5,176,905",0,"15,389,752","4,520","8,915","59,173","2,357,663",0,"2,633,986","220,055,669"
284,Stoneham,2023,"67,703,651","1,619,499","1,191,108",0,"11,685,126","29,693",0,"30,026","1,992,517",0,"2,147,306","86,398,926"
291,Swampscott,2023,"56,125,776","730,818","980,365",0,"6,502,244","17,446",0,"122,107","2,922,293",0,"2,283,153","69,684,202"
