municipality,retirement_system,valuation_date,funded_ratio_pct,source_url,source_note
Arlington,Arlington Contributory Retirement System,2025-01-01,69.8,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list (published 2026-07-02, data as of 07/01/26), row ""Arlington""; actuarial value of assets / actuarial accrued liability; 7.00% return assumption; amortization completed FY2033. Arlington runs its own board."
Brookline,Brookline Contributory Retirement System,2024-01-01,74.4,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list (published 2026-07-02), row ""Brookline""; 6.80% return assumption; amortization completed FY2030. Brookline runs its own board."
Cohasset,Norfolk County Retirement System,2025-01-01,71.9,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Norfolk County""; 7.63% return assumption; amortization completed FY2036. Cohasset has NO own board; it is a member town of the Norfolk County Retirement System (confirmed: norfolkcountyretirement.org member-towns page lists Cohasset). Ratio is the pooled regional system's, not Cohasset-specific."
Duxbury,Plymouth County Retirement Association,2024-01-01,67.5,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Plymouth County""; 7.88% return assumption; amortization completed FY2031. Duxbury has NO own board; it is a member unit of the Plymouth County Retirement Association (confirmed: Town of Duxbury HR ""Plymouth County Retirement Information"" page). Ratio is the pooled regional system's, not Duxbury-specific."
Easton,Bristol County Retirement System,2024-01-01,66.0,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Bristol County""; 7.35% return assumption; amortization completed FY2034. Easton has NO own board; Town of Easton employees enroll in the Bristol County Retirement System (confirmed: Town of Easton personnel-management page, ""you must enroll in the Bristol County Retirement Program""). Ratio is the pooled regional system's, not Easton-specific."
Framingham,Framingham Contributory Retirement System,2024-01-01,83.4,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Framingham""; 7.00% return assumption; amortization completed FY2030. Framingham runs its own board."
Hingham,Hingham Contributory Retirement System,2024-01-01,78.8,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Hingham""; 7.25% return assumption; amortization completed FY2035. Hingham runs its own board."
Lexington,Lexington Contributory Retirement System,2025-01-01,86.5,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Lexington""; 7.25% return assumption; amortization completed FY2030. Lexington runs its own board."
Marblehead,Marblehead Contributory Retirement System,2024-01-01,71.5,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Marblehead""; 7.00% return assumption; amortization completed FY2036. Cross-checked against the PERAC Marblehead Actuarial Valuation Report Jan 1 2024, p.2: actuarial-value funded ratio 71.5% (market-value basis 69.8%, p.3). Note: the FY25 ACFR reports 72.49% on a GASB-67 fiduciary-net-position basis at the 6/30/2024 measurement date; the 71.5% here is PERAC's actuarial-funding basis at 1/1/2024, the basis used for every board in this list."
Melrose,Melrose Contributory Retirement System,2025-01-01,66.9,https://www.mass.gov/info-details/funded-ratios,"PERAC Funded Ratios list, row ""Melrose""; 7.00% return assumption; amortization completed FY2038. Melrose runs its own board."
STATEWIDE,PERAC aggregate (median of all 105 listed systems),2026-07-01,76.3,https://www.mass.gov/info-details/funded-ratios,"DERIVED: median funded ratio of all 105 retirement systems in the PERAC Funded Ratios list (published 2026-07-02, data as of 07/01/26); range 48.6% to 110.7%, mean 78.1%. Computed from the primary list, not a value printed by PERAC; PERAC's own stated group median may differ slightly depending on which systems it includes. For context the two Commonwealth systems in the same list are State Employees (SERS) 73.9% (val 1/1/25) and State Teachers (MTRS) 63.3% (val 1/1/25)."
