fiscal_year,chapter90_apportionment,source
FY2010,347650,MassDOT Chapter 90 FY2010 Apportionment Distribution (Marblehead row); mass.gov/doc/fiscal-year-2010-apportionment-distribution
FY2011,358656,MassDOT Chapter 90 FY2011 Apportionment Distribution (Marblehead row); mass.gov/doc/fiscal-year-2011-apportionment-distribution
FY2012,454796,MassDOT Chapter 90 FY2012 Apportionment Distribution (Marblehead row; $200M statewide program); mass.gov/doc/fiscal-year-2012-apportionment-distribution
FY2013,449162,MassDOT Chapter 90 FY2013 Apportionment Distribution (Marblehead row); mass.gov/doc/fiscal-year-2013-apportionment-distribution
FY2014,446866,MassDOT Chapter 90 FY2014 Apportionment Distribution (Marblehead row); mass.gov/doc/fiscal-year-2014-apportionment-distribution
FY2015,671040,MassDOT Chapter 90 FY2015 Apportionment Distribution (Marblehead row; $300M statewide program year); mass.gov/doc/fiscal-year-2015-apportionment-distribution
FY2016,448252,MassDOT Chapter 90 FY2016 Apportionment Distribution (Marblehead row); mass.gov/doc/fiscal-year-2016-apportionment-distribution
FY2017,447836,MassDOT Chapter 90 FY2017 Apportionment Distribution (Marblehead row); mass.gov/doc/fiscal-year-2017-apportionment-distribution
FY2018,455615,MassDOT Chapter 90 FY2018 Apportionment Distribution (Marblehead row; matches Patch secondary figure of $455615); mass.gov/doc/fiscal-year-2018-apportionment-distribution
FY2019,457541,MassDOT Chapter 90 FY2019 Apportionment Distribution (Marblehead row); mass.gov/doc/fiscal-year-2019-apportionment-distribution
FY2023,445180,MassDOT Chapter 90 FY2023 apportionment CSV (Marblehead row; $200M program); mass.gov/files/csv/2022-04/FY23-Chapter90-apportionment_1.csv
FY2024,448375,MassDOT Chapter 90 FY2024 apportionment CSV (Marblehead row; $200M program); mass.gov/files/csv/2023-03/dot-FY24-Chapter-90-apportionments.csv
FY2025,447867,MassDOT Chapter 90 FY2025 apportionment CSV (Marblehead row; $200M program); mass.gov/files/csv/2024-05/dot-hwy-FY25-Chapter-90-apportionments.csv
FY2026,858599,MassDOT Chapter 90 FY2026 apportionment CSV (Marblehead row; $300M program $677383 plus $80M Fair Share supplemental $181215 equals $858599 total); mass.gov/files/csv/2025-07/FY26-CH90-300M-and-80M-Supp-Apportionment.csv
FY2027,678732,MassDOT Chapter 90 FY2027 apportionment CSV (Marblehead row; $200M standard formula $450392 plus $100M mileage-only $228340 equals $678732 total; $300M program); mass.gov/files/csv/2026-02/dot-hwy-fy27-ch90-300m-apportionment.csv
