year,pdf_url,pdf_size_mb,pages,txt_size_kb,extraction_method,extracted_at
2006,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2006.pdf,0.8,287,574,pdftotext-layout,2026-05-06
2007,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2007.pdf,0.8,300,560,pdftotext-layout,2026-05-06
2008,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2008.pdf,1.2,292,557,pdftotext-layout,2026-05-06
2009,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2009.pdf,1.9,283,552,pdftotext-layout,2026-05-06
2010,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2010.pdf,1.3,280,538,pdftotext-layout,2026-05-06
2011,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2011.pdf,4.2,248,464,pdftotext-layout,2026-05-06
2012,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2012.pdf,5.8,300,2609,pdftotext-layout,2026-05-06
2013,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2013.pdf,2.7,274,539,pdftotext-layout,2026-05-06
2014,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2014.pdf,2.0,275,510,pdftotext-layout,2026-05-06
2015,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2015.pdf,4.5,242,449,pdftotext-layout,2026-05-06
2016,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2016.pdf,2.0,256,478,pdftotext-layout,2026-05-06
2017,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2017.pdf,2.7,254,487,pdftotext-layout,2026-05-06
2018,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2018.pdf,4.9,293,569,pdftotext-layout,2026-05-06
2019,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf,6.0,268,538,pdftotext-layout,2026-05-06
2020,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2020.pdf,3.2,325,886,pdftotext-layout,2026-05-06
2021,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2021.pdf,5.2,282,678,pdftotext-layout,2026-05-06
2022,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2022.pdf,11.1,313,3073,pdftotext-layout,2026-05-06
2023,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2023.pdf,9.0,295,614,pdftotext-layout,2026-05-06
2024,https://marbleheadma.gov/wp-content/uploads/2026/04/Annual-Town-Report-2024-FINAL.pdf,8.5,335,834,pdftotext-layout,2026-05-06
2025,https://marbleheadma.gov/wp-content/uploads/2026/04/Annual-Town-Report-2025.pdf,5.6,358,821,pdftotext-layout,2026-05-06
