FY,Department,Headcount
2008,SELECTMEN,9
2008,FINANCE DEPARTMENT,6
2008,ASSESSORS,3
2008,TOWN CLERK,2
2008,ELECTION & REGISTRATION,62
2008,PUBLIC BUILDINGS,5
2008,POLICE,76
2008,FIRE,43
2008,BUILDING COMMISSIONER,8
2008,ANIMAL INSPECTOR,1
2008,SCHOOL,10
2008,ADMIN & SYSTEMWIDE,64
2008,BELL SCHOOL,42
2008,SCH CUST / MAINT & TRANSP,32
2008,BROWN SCHOOL,47
2008,EVELETH SCHOOL,9
2008,GERRY SCHOOL,4
2008,GLOVER SCHOOL,39
2008,HIGH SCHOOL,136
2008,VETERANS MIDDLE SCHOOL,67
2008,VILLAGE SCHOOL,100
2008,SCHOOL REVOLVING FUND,35
2008,SCHOOL GRANTS,21
2008,ENGINEERING,1
2008,HIGHWAY,16
2008,WASTE COLL/ DISPOSAL,7
2008,SEWER,12
2008,DRAINS,2
2008,WATER,12
2008,LIGHT DEPARTMENT,2
2008,554 MAINT OF MISC PWR GEN,1
2008,586 METER - UNION,4
2008,CEMETERY,9
2008,TREE,2
2008,HEALTH,4
2008,HEALTH ANTI-SMOKING,5
2008,FORMULAR SPENDING GRANT,1
2008,COUNCIL ON AGING,5
2008,COA REVOLVING FUND,7
2008,VETERANS AGENT,1
2008,METER - MGMT,2
2008,DISTRIBUTION - MGMT,2
2008,593 OVERHEAD LINES UNION,5
2008,594 UNDERGROUND LINES,2
2008,593 OVERHEAD LINES MGMT,1
2008,LIBRARY,29
2008,PARK,19
2008,PARK REVOLVING FUND,4
2008,HARBORMASTER,11
2008,SUPERVISION - MGMT,1
2008,METER READER,2
2008,CUST RECORDS,6
2008,ADMIN & GENERAL,3
2009,SELECTMEN,8
2009,FINANCE DEPARTMENT,6
2009,ASSESSORS,3
2009,Town Counsel,1
2009,TOWN CLERK,3
2009,ELECTION & REGISTRATION,62
2009,PUBLIC BUILDINGS,6
2009,POLICE,88
2009,FIRE,46
2009,BUILDING COMMISSIONER,9
2009,ANIMAL INSPECTOR,1
2009,SCHOOL,16
2009,ADMIN & SYSTEMWIDE,76
2009,BELL SCHOOL,42
2009,SCH CUST / MAINT & TRANSP,43
2009,BROWN SCHOOL,48
2009,EVELETH SCHOOL,7
2009,GERRY SCHOOL,3
2009,GLOVER SCHOOL,46
2009,HIGH SCHOOL,137
2009,VETERANS MIDDLE SCHOOL,71
2009,VILLAGE SCHOOL,113
2009,SCHOOL REVOLVING FUND,40
2009,SCHOOL GRANTS,26
2009,ENGINEERING,2
2009,HIGHWAY,16
2009,WASTE COLL/ DISPOSAL,9
2009,SEWER,13
2009,DRAINS,2
2009,WATER,11
2009,LIGHT DEPARTMENT,2
2009,554 MAINT OF MISC PWR GEN,1
2009,586 METER - UNION,3
2009,CEMETERY,9
2009,TREE,2
2009,HEALTH,3
2009,HEALTH ANTI-SMOKING,6
2009,FORMULAR SPENDING GRANT,1
2009,COUNCIL ON AGING,6
2009,COA REVOLVING FUND,7
2009,VETERANS AGENT,1
2009,METER - MGMT,2
2009,DISTRIBUTION - MGMT,1
2009,593 OVERHEAD LINES UNION,6
2009,594 UNDERGROUND LINES,2
2009,593 OVERHEAD LINES MGMT,1
2009,LIBRARY,28
2009,PARK,26
2009,PARK REVOLVING FUND,13
2009,HARBORMASTER,12
2009,SUPERVISION - MGMT,1
2009,METER READER,1
2009,CUST RECORDS,6
2009,ADMIN & GENERAL,3
2010,SELECTMEN,8
2010,FINANCE DEPARTMENT,6
2010,ASSESSORS,3
2010,Town Counsel,1
2010,TOWN CLERK,2
2010,ELECTION & REGISTRATION,65
2010,PUBLIC BUILDINGS,6
2010,POLICE,92
2010,FIRE,44
2010,BUILDING COMMISSIONER,10
2010,ANIMAL INSPECTOR,1
2010,SCHOOL,16
2010,ADMIN & SYSTEMWIDE,104
2010,BELL SCHOOL,47
2010,SCH CUST / MAINT & TRANSP,39
2010,BROWN SCHOOL,53
2010,EVELETH SCHOOL,6
2010,GERRY SCHOOL,2
2010,GLOVER SCHOOL,53
2010,HIGH SCHOOL,143
2010,VETERANS MIDDLE SCHOOL,74
2010,VILLAGE SCHOOL,126
2010,SCHOOL REVOLVING FUND,43
2010,SCHOOL GRANTS,23
2010,ENGINEERING,2
2010,HIGHWAY,16
2010,WASTE COLL/ DISPOSAL,10
2010,SEWER,12
2010,DRAINS,2
2010,WATER,13
2010,LIGHT DEPARTMENT,2
2010,554 MAINT OF MISC PWR GEN,1
2010,586 METER - UNION,3
2010,CEMETERY,9
2010,TREE,3
2010,HEALTH,2
2010,HEALTH ANTI-SMOKING,4
2010,COUNCIL ON AGING,7
2010,COA REVOLVING FUND,5
2010,VETERANS AGENT,1
2010,METER - MGMT,2
2010,DISTRIBUTION - MGMT,1
2010,593 OVERHEAD LINES UNION,7
2010,594 UNDERGROUND LINES,2
2010,593 OVERHEAD LINES MGMT,1
2010,LIBRARY,30
2010,PARK,26
2010,PARK REVOLVING FUND,15
2010,HARBORMASTER,12
2010,SUPERVISION - MGMT,1
2010,METER READER,1
2010,CUST RECORDS,7
2010,ADMIN & GENERAL,3
2011,SELECTMEN,8
2011,FINANCE DEPARTMENT,6
2011,ASSESSORS,2
2011,Town Counsel,1
2011,TOWN CLERK,2
2011,ELECTION & REGISTRATION,60
2011,PUBLIC BUILDINGS,6
2011,POLICE,95
2011,FIRE,47
2011,BUILDING COMMISSIONER,12
2011,ANIMAL INSPECTOR,1
2011,SCHOOL,12
2011,ADMIN & SYSTEMWIDE,78
2011,BELL SCHOOL,43
2011,SCH CUST / MAINT & TRANSP,37
2011,BROWN SCHOOL,59
2011,EVELETH SCHOOL,5
2011,GERRY SCHOOL,2
2011,GLOVER SCHOOL,58
2011,HIGH SCHOOL,144
2011,VETERANS MIDDLE SCHOOL,79
2011,VILLAGE SCHOOL,112
2011,SCHOOL REVOLVING FUND,49
2011,SCHOOL GRANTS,26
2011,ENGINEERING,1
2011,HIGHWAY,18
2011,WASTE COLL/ DISPOSAL,9
2011,SEWER,10
2011,DRAINS,2
2011,WATER,14
2011,LIGHT DEPARTMENT,3
2011,554 MAINT OF MISC PWR GEN,1
2011,586 METER - UNION,4
2011,CEMETERY,9
2011,TREE,3
2011,HEALTH,1
2011,HEALTH ANTI-SMOKING,4
2011,COA DONATION FUND,1
2011,FORMULAR SPENDING GRANT,1
2011,COUNCIL ON AGING,8
2011,COA REVOLVING FUND,5
2011,VETERANS AGENT,1
2011,METER - MGMT,1
2011,DISTRIBUTION - MGMT,1
2011,593 OVERHEAD LINES UNION,7
2011,594 UNDERGROUND LINES,2
2011,LIBRARY,28
2011,PARK,32
2011,PARK REVOLVING FUND,16
2011,HARBORMASTER,13
2011,SUPERVISION - MGMT,1
2011,METER READER,1
2011,CUST RECORDS,7
2011,ADMIN & GENERAL,3
2012,SELECTMEN,8
2012,FINANCE DEPARTMENT,7
2012,ASSESSORS,2
2012,Town Counsel,1
2012,TOWN CLERK,2
2012,ELECTION & REGISTRATION,51
2012,PUBLIC BUILDINGS,5
2012,POLICE,87
2012,FIRE,43
2012,BUILDING COMMISSIONER,10
2012,ANIMAL INSPECTOR,1
2012,SCHOOL,8
2012,ADMIN & SYSTEMWIDE,84
2012,BELL SCHOOL,27
2012,SCH CUST / MAINT & TRANSP,35
2012,BROWN SCHOOL,58
2012,EVELETH SCHOOL,6
2012,GERRY SCHOOL,3
2012,GLOVER SCHOOL,57
2012,HIGH SCHOOL,132
2012,VETERANS MIDDLE SCHOOL,74
2012,VILLAGE SCHOOL,106
2012,SCHOOL REVOLVING FUND,51
2012,SCHOOL GRANTS,27
2012,ENGINEERING,1
2012,HIGHWAY,20
2012,WASTE COLL/ DISPOSAL,7
2012,SEWER,9
2012,DRAINS,2
2012,WATER,13
2012,LIGHT DEPARTMENT,3
2012,554 MAINT OF MISC PWR GEN,1
2012,586 METER - UNION,4
2012,CEMETERY,7
2012,TREE,4
2012,HEALTH,3
2012,HEALTH ANTI-SMOKING,3
2012,COA DONATION FUND,1
2012,FORMULAR SPENDING GRANT,1
2012,COUNCIL ON AGING,7
2012,COA REVOLVING FUND,5
2012,VETERANS AGENT,1
2012,METER - MGMT,1
2012,DISTRIBUTION - MGMT,1
2012,593 OVERHEAD LINES UNION,7
2012,594 UNDERGROUND LINES,2
2012,LIBRARY,27
2012,PARK,28
2012,PARK REVOLVING FUND,19
2012,HARBORMASTER,15
2012,SUPERVISION - MGMT,1
2012,METER READER,1
2012,CUST RECORDS,6
2012,ADMIN & GENERAL,3
2013,SELECTMEN,6
2013,FINANCE DEPARTMENT,7
2013,ASSESSORS,2
2013,Town Counsel,1
2013,TOWN CLERK,3
2013,ELECTION & REGISTRATION,50
2013,PUBLIC BUILDINGS,5
2013,POLICE,102
2013,FIRE,45
2013,BUILDING COMMISSIONER,10
2013,ANIMAL INSPECTOR,1
2013,SCHOOL,6
2013,ADMIN & SYSTEMWIDE,97
2013,BELL SCHOOL,25
2013,SCH CUST / MAINT & TRANSP,35
2013,BROWN SCHOOL,58
2013,EVELETH SCHOOL,7
2013,GERRY SCHOOL,3
2013,GLOVER SCHOOL,58
2013,HIGH SCHOOL,129
2013,VETERANS MIDDLE SCHOOL,74
2013,VILLAGE SCHOOL,114
2013,SCHOOL REVOLVING FUND,56
2013,SCHOOL GRANTS,25
2013,ENGINEERING,1
2013,HIGHWAY,22
2013,WASTE COLL/ DISPOSAL,7
2013,SEWER,11
2013,DRAINS,2
2013,WATER,14
2013,LIGHT DEPARTMENT,2
2013,554 MAINT OF MISC PWR GEN,1
2013,586 METER - UNION,3
2013,CEMETERY,7
2013,TREE,3
2013,HEALTH,3
2013,COA DONATION FUND,1
2013,FORMULAR SPENDING GRANT,1
2013,COUNCIL ON AGING,8
2013,COA REVOLVING FUND,5
2013,VETERANS AGENT,1
2013,METER - MGMT,1
2013,DISTRIBUTION - MGMT,3
2013,593 OVERHEAD LINES UNION,7
2013,594 UNDERGROUND LINES,1
2013,LIBRARY,27
2013,PARK,31
2013,PARK REVOLVING FUND,16
2013,HARBORMASTER,12
2013,SUPERVISION - MGMT,1
2013,METER READER,1
2013,CUST RECORDS,6
2013,ADMIN & GENERAL,2
2014,SELECTMEN,6
2014,FINANCE DEPARTMENT,6
2014,ASSESSORS,2
2014,TOWN CLERK,3
2014,ELECTION & REGISTRATION,69
2014,PUBLIC BUILDINGS,5
2014,POLICE,95
2014,FIRE,45
2014,BUILDING COMMISSIONER,12
2014,ANIMAL INSPECTOR,1
2014,SCHOOL,7
2014,ADMIN & SYSTEMWIDE,100
2014,BELL SCHOOL,35
2014,SCH CUST / MAINT & TRANSP,35
2014,BROWN SCHOOL,60
2014,EVELETH SCHOOL,6
2014,GERRY SCHOOL,3
2014,GLOVER SCHOOL,67
2014,HIGH SCHOOL,144
2014,VETERANS MIDDLE SCHOOL,75
2014,VILLAGE SCHOOL,115
2014,SCHOOL REVOLVING FUND,55
2014,SCHOOL GRANTS,23
2014,ENGINEERING,1
2014,HIGHWAY,21
2014,WASTE COLL/ DISPOSAL,7
2014,SEWER,10
2014,DRAINS,1
2014,WATER,14
2014,LIGHT DEPARTMENT,2
2014,554 MAINT OF MISC PWR GEN,1
2014,586 METER - UNION,2
2014,CEMETERY,8
2014,TREE,3
2014,HEALTH,3
2014,COA DONATION FUND,1
2014,FORMULAR SPENDING GRANT,1
2014,COUNCIL ON AGING,8
2014,COA REVOLVING FUND,3
2014,VETERANS AGENT,1
2014,METER - MGMT,1
2014,DISTRIBUTION - MGMT,2
2014,593 OVERHEAD LINES UNION,7
2014,594 UNDERGROUND LINES,1
2014,LIBRARY,29
2014,PARK,30
2014,PARK REVOLVING FUND,22
2014,HARBORMASTER,12
2014,SUPERVISION - MGMT,1
2014,METER READER,1
2014,CUST RECORDS,5
2014,ADMIN & GENERAL,2
2015,SELECTMEN,5
2015,FINANCE DEPARTMENT,9
