meeting_year,meeting_date,meeting_type,article_number,title,disposition,vote_yes,vote_no,notes,source_doc,source_url
2019,2019-05-06,annual,1,"Articles in Numerical Order",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,2,"Reports of Town Officers and Committees",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,3,"Assume Liability",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,4,"Accept Trust Property",indefinitely_postponed,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,5,"Lease Town Property",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,6,"Contracts in Excess of Three Years",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,7,"Amend Recreation and Parks Revolving Fund",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,8,"Departmental Revolving Funds",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,9,"Purchase and Planting of Trees",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,10,"Purchase of Equipment of Several Departments",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,11,"Capital Improvements for Public Buildings",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,12,"Walls and Fences",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,13,"Water Department Construction",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
2019,2019-05-06,annual,14,"Sewer Department Construction",adopted,,,,Annual-Report-2019.pdf,https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf
