meeting_year,article_number,title,source_doc,source_location,extraction_method
2016,1,Articles in Numerical Order,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,2,Reports of Town Officers and Committees,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,3,Assume Liability,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,4,Accept Trust Property,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,5,Lease Town Property,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,6,Unpaid Accounts,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,7,Revolving Funds,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,8,Purchase of Equipment of Several Departments,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,9,Capital Improvements for Public Buildings,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,10,Walls and Fences,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,11,"Ocean Avenue Sidewalk, Seawall and Rip Rap Repair",2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,12,Amend General Bylaws to Reduce Quorum at Town Meeting,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,13,Landfill Regulatory Compliance Activities,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,14,Water Department Construction,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,15,Sewer Department Construction,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,16,Storm Drainage Construction,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,17,Water and Sewer Commission Claims,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,18,Financial Assistance for Conservation,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,19,Ratification of Salary By-Law,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,20,Proposed Reclassification and Pay Schedule (Administrative),2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,21,Proposed Pay Schedule and Reclassification (Traffic Supervisors),2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,22,Proposed Reclassification and Pay Schedule (Seasonal and Temporary,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,23,Compensation - Town Officers,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,24,Essex North Shore Agricultural and Technical School District,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,25,Allocation of Bond Premium to Debt Excluded Project Costs,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,26,Available Funds Appropriate to Reduce Tax Rate,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,27,Expenses of Several Departments,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,28,Supplemental Expenses of Several Departments,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,29,"Acceptance of MGL Chapter 31 Section 58A, Police and Fire Maximum Age",2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
